File Name,Solvent type,Stoichiometry,Charge,Mult,Functional,Basis Set,Energy (A.U.),dipole,ZPE (kcal/mol),H298 (Hartrees),G298 (Hartrees),Freq 1,Freq 2,phi,theta,Q,Pucker,HM1 (deg),HM2 (deg),AC1 (deg),AC2 (deg),Ano1 (deg),Ano2 (deg),R1 (A),R2 (A),R3 (A),R4 (A),R5 (A),R6 (A),O1 (A),O2 (A),O3 (A),O4 (A),O6 (A),Ion1 (A),Ion2 (A),Ion3 (A),Ion4 (A),Ion5 (A),Ion6 (A)
beta-xylose77-TS_APFD-ircf-APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2486298,2.4279,0.165323,-572.072415,-572.118076,67.7507,103.8374,155.4163629,86.84357592,0.761571166,2so,N/A,N/A,N/A,N/A,82.95013374,-150.8492162,1.404904864,1.536519018,1.519596081,1.526140662,1.536395889,1.425605481,1.407950988,1.416098049,1.412288187,1.416555176,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose77-TS_APFD-ircr-APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2550014,2.0009,0.165347,-572.078908,-572.123866,111.407,117.3163,33.11953999,1.257794726,0.579944957,4c1,N/A,N/A,N/A,N/A,-179.4961302,176.9947419,1.413699267,1.528940508,1.519023503,1.522273375,1.527899954,1.421215936,1.389755602,1.413380642,1.414455974,1.410547296,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose35-TS_APFD-ircr-APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.240994,3.7523,0.165202,-572.064887,-572.110762,42.6102,131.6295,212.5729697,88.34080759,0.733926979,1s3,N/A,N/A,N/A,N/A,55.54935185,-91.36356599,1.413022152,1.542971213,1.535624323,1.528380327,1.535026004,1.42946683,1.404508169,1.413247391,1.40809557,1.422499806,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose35-TS_APFD-ircf-APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2469181,1.7069,0.165362,-572.07088,-572.115469,120.3888,149.7257,108.6670606,172.0359077,0.542457435,1c4,N/A,N/A,N/A,N/A,66.28590927,-76.83853369,1.403481545,1.540090734,1.531928572,1.544219488,1.525154632,1.430319428,1.398567844,1.425748222,1.41413798,1.410714054,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose81-TS_APFD-ircr-APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2550041,2.0002,0.165355,-572.078904,-572.123857,111.6651,117.4254,32.29349735,1.292895377,0.579985844,4c1,N/A,N/A,N/A,N/A,-179.5340901,177.002103,1.413650681,1.528939098,1.519076149,1.522417789,1.527889105,1.421115404,1.389737789,1.413389237,1.414447319,1.410523281,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose33-TS_APFD-ircr-APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2568165,3.8877,0.166334,-572.080315,-572.123768,134.2172,171.6656,29.25468852,177.2455317,0.549615788,1c4,N/A,N/A,N/A,N/A,63.64503859,-69.21458599,1.407358216,1.538990381,1.54282436,1.54035336,1.523427737,1.424266679,1.418252004,1.406728071,1.412688225,1.427736573,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose73-TS_APFD-ircf-APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2402429,2.7681,0.164874,-572.064334,-572.110409,60.8294,98.614,156.8613845,87.34399991,0.761862967,2so,N/A,N/A,N/A,N/A,84.13854593,-147.1936365,1.390841396,1.547787233,1.523680418,1.528368482,1.536923641,1.425368403,1.411231679,1.421823133,1.413241912,1.416290452,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose81-TS_APFD-ircf-APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2457851,2.8612,0.16573,-572.069562,-572.114101,68.0894,162.7681,20.39300413,90.72114907,0.790395031,3s1,N/A,N/A,N/A,N/A,-170.4153716,-143.3806842,1.417594721,1.541621237,1.541089361,1.538342034,1.547525261,1.435586385,1.387879013,1.425095206,1.411668238,1.41896866,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose33-TS_APFD-ircf-APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2454632,1.5216,0.165538,-572.069085,-572.114703,54.981,115.9488,202.6543661,86.37331365,0.736937171,1s3,N/A,N/A,N/A,N/A,57.27596778,-102.7244811,1.407445591,1.545773937,1.528651746,1.519726519,1.534374042,1.434031712,1.404778045,1.419434771,1.414465088,1.412500024,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose55-TS_APFD-ircf-APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2550025,2.0003,0.165359,-572.078901,-572.12385,111.7799,117.2526,32.4870362,1.299646153,0.579952499,4c1,N/A,N/A,N/A,N/A,-179.5432801,177.0082619,1.413685469,1.528906191,1.519048906,1.522397819,1.527937722,1.421107023,1.389742884,1.413385661,1.414457696,1.410528094,N/A,N/A,N/A,N/A,N/A,N/A,N/A
