File Name,Solvent type,Stoichiometry,Charge,Mult,Functional,Basis Set,Energy (A.U.),dipole,ZPE (kcal/mol),H298 (Hartrees),G298 (Hartrees),Freq 1,Freq 2,phi,theta,Q,Pucker,HM1 (deg),HM2 (deg),AC1 (deg),AC2 (deg),Ano1 (deg),Ano2 (deg),R1 (A),R2 (A),R3 (A),R4 (A),R5 (A),R6 (A),O1 (A),O2 (A),O3 (A),O4 (A),O6 (A),Ion1 (A),Ion2 (A),Ion3 (A),Ion4 (A),Ion5 (A),Ion6 (A)
beta-xylose10-optall_am1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.3943306,1.3555,0.166848,-0.216614,-0.262939,28.4933,119.8722,294.5016568,86.53982038,0.673004141,b25,N/A,N/A,N/A,N/A,117.5403705,68.41623563,1.416369256,1.539175323,1.539187156,1.541478749,1.529545931,1.420169487,1.413466488,1.417310161,1.412423422,1.419941413,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose12-optall_am1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.399463351,1.7231,0.166805,-0.221836,-0.267888,44.7227,85.1283,159.494731,85.75684126,0.713376419,2so,N/A,N/A,N/A,N/A,80.18200267,-139.5855779,1.412835799,1.540521369,1.535000306,1.537844304,1.532846963,1.422166871,1.409707767,1.416799231,1.416377302,1.417424217,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose14-optall_am1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.3971968,3.5069,0.167195,-0.219357,-0.264809,44.6583,124.2177,334.822937,90.39748664,0.686866226,os2,N/A,N/A,N/A,N/A,-152.9623643,-90.10456941,1.427223974,1.544131417,1.534466505,1.543156985,1.534180385,1.415666609,1.406964522,1.409538276,1.409876742,1.421706784,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose15-optall_am1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.400867154,0.8563,0.166796,-0.223303,-0.268754,81.5225,88.4494,191.1043507,0.801969295,0.568186795,4c1,N/A,N/A,N/A,N/A,-178.7882289,170.2452301,1.420179495,1.543223039,1.534047088,1.538868858,1.53244077,1.421392031,1.401559981,1.416577482,1.416736387,1.415707886,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose17-optall_am1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.400208825,2.3231,0.167038,-0.222435,-0.268464,41.6292,73.6776,135.9301624,92.43837531,0.708153924,2so,N/A,N/A,N/A,N/A,94.08508729,-151.4882641,1.414798824,1.539150058,1.538187951,1.541972025,1.53070535,1.424181217,1.409736349,1.417079349,1.416836292,1.41417978,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose1-optall_am1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.398707718,2.3655,0.167191,-0.220805,-0.266902,40.2493,63.4167,145.8792915,94.42608994,0.69427073,2so,N/A,N/A,N/A,N/A,81.94707095,-139.676865,1.416612468,1.539149397,1.539017951,1.540651656,1.530360485,1.424487333,1.407922954,1.413671486,1.417537912,1.414366233,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose20-optall_am1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.397411182,1.9794,0.166547,-0.219875,-0.266443,38.3982,84.0492,153.4854891,84.94502776,0.704031422,2so,N/A,N/A,N/A,N/A,92.53332911,-149.8736249,1.411262845,1.541430698,1.533903565,1.537568912,1.5320265,1.420779862,1.405991198,1.416757384,1.416129715,1.417135779,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose22-optall_am1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.398342766,2.0595,0.167411,-0.220378,-0.265737,39.5309,120.1561,339.2842035,90.79087528,0.694123148,os2,N/A,N/A,N/A,N/A,-156.8530388,-93.4870802,1.42670981,1.544042859,1.535474208,1.541993226,1.534642381,1.4166235,1.406448458,1.409313231,1.410403301,1.422044822,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose24-optall_am1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.394910515,1.8081,0.167121,-0.217058,-0.262852,42.1457,104.4697,325.2871808,89.51750619,0.693911055,os2,N/A,N/A,N/A,N/A,-150.5961249,-86.0816535,1.422523517,1.543399917,1.537393422,1.540742952,1.533234484,1.417093342,1.398903189,1.419842869,1.419785803,1.414531753,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose25-optall_am1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.398661853,1.1341,0.167327,-0.220723,-0.26663,21.7305,131.2676,0.718884754,87.92693481,0.69611033,o3b,N/A,N/A,N/A,N/A,-179.4781116,-119.9879793,1.421921086,1.547512277,1.540407588,1.537776566,1.535590676,1.422938751,1.4002832,1.417765244,1.412254464,1.412175187,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose26-optall_am1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.39469836,2.7107,0.167186,-0.216831,-0.262492,45.2848,98.0632,319.9037592,91.2549492,0.692346935,os2,N/A,N/A,N/A,N/A,142.3219771,79.78790134,1.419230454,1.542891855,1.5381911,1.541080698,1.533020405,1.417966641,1.402073183,1.417690741,1.418715264,1.413603623,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose27-freeze_am1-TS_am1-ircr-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.398676232,1.6704,0.16687,-0.22097,-0.267007,48.0491,82.6962,172.1713877,87.07150479,0.695741951,bo3,N/A,N/A,N/A,N/A,68.75195843,-125.0094932,1.4147711,1.541402847,1.534037195,1.53405805,1.533384487,1.421203082,1.408387197,1.417317557,1.415397588,1.417928478,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose29-freeze_am1-TS_am1-ircf-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.397633849,1.234,0.167214,-0.219757,-0.265561,40.656,83.2612,194.2644969,86.90043304,0.690403195,bo3,N/A,N/A,N/A,N/A,66.11939332,-110.0208768,1.413127021,1.543575331,1.535371329,1.535600691,1.532999041,1.421073538,1.401119511,1.413388742,1.418080222,1.415950834,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose29-freeze_am1-TS_am1-ircr-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.395153275,2.3067,0.166841,-0.21749,-0.263392,47.5747,95.5322,273.3448978,84.58271941,0.660295952,1s5,N/A,N/A,N/A,N/A,106.5365229,-71.48098828,1.416325415,1.53746213,1.53946853,1.540465262,1.526323373,1.418048675,1.401031105,1.41213582,1.419704568,1.416329719,N/A,N/A,N/A,N/A,N/A,N/A,N/A
