File Name,Solvent type,Stoichiometry,Charge,Mult,Functional,Basis Set,Energy (A.U.),dipole,ZPE (kcal/mol),H298 (Hartrees),G298 (Hartrees),Freq 1,Freq 2,phi,theta,Q,Pucker,HM1 (deg),HM2 (deg),AC1 (deg),AC2 (deg),Ano1 (deg),Ano2 (deg),R1 (A),R2 (A),R3 (A),R4 (A),R5 (A),R6 (A),O1 (A),O2 (A),O3 (A),O4 (A),O6 (A),Ion1 (A),Ion2 (A),Ion3 (A),Ion4 (A),Ion5 (A),Ion6 (A)
beta-xylose27-TS_APFD-ircr-APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2442643,1.9285,0.165083,-572.068227,-572.114997,18.351,109.998,192.9781954,86.43620262,0.728315865,bo3,N/A,N/A,N/A,N/A,59.45774455,-112.0248558,1.406380863,1.543884437,1.523854653,1.524392633,1.540875407,1.428569758,1.406549861,1.413179639,1.426208383,1.414235966,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose41-TS_APFD-ircr-APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2414621,1.7677,0.164568,-572.065908,-572.111934,47.0552,114.5964,96.09779007,87.49458722,0.731856588,5s1,N/A,N/A,N/A,N/A,148.5011081,174.3924832,1.409433952,1.532915723,1.522795085,1.545717687,1.520215253,1.427618701,1.404317742,1.40959122,1.417160945,1.417317489,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose14-optall_APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.244427,5.3189,0.165674,-572.068217,-572.112799,72.5039,169.6131,17.96473869,91.41836146,0.779069224,3s1,N/A,N/A,N/A,N/A,-172.5760175,-138.0455373,1.432361254,1.545431248,1.546417393,1.535539412,1.543967395,1.421746099,1.382731862,1.409048188,1.413298041,1.429504078,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose90-TS_APFD-ircf-APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2451777,2.7736,0.165694,-572.068959,-572.113963,37.8657,165.8166,345.1959928,91.18510254,0.76996006,o3b,N/A,N/A,N/A,N/A,-168.3748917,-103.5745725,1.431036147,1.552027232,1.537927515,1.545692619,1.540653927,1.418631539,1.388802586,1.413057742,1.409284726,1.431294193,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose62-TS_APFD-ircf-APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2393673,0.4854,0.165077,-572.063448,-572.108605,86.3212,150.157,29.28097356,90.73122707,0.755013191,3s1,N/A,N/A,N/A,N/A,-173.0567154,-151.6192388,1.404748048,1.53857019,1.533607448,1.534158757,1.541664424,1.425668462,1.391908274,1.425479464,1.413595179,1.421339325,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose12-optall_APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2486359,2.4272,0.165338,-572.07241,-572.118057,68.3076,103.8158,155.4287174,86.84594808,0.761509284,2so,N/A,N/A,N/A,N/A,82.94084182,-150.8324295,1.404935599,1.536527535,1.519548971,1.526197267,1.536369775,1.425584891,1.40794147,1.416103371,1.412294739,1.416548705,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose8-optall_APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2439771,2.9787,0.165107,-572.067952,-572.113263,83.2103,152.6208,272.8787351,90.35877178,0.727294978,1s5,N/A,N/A,N/A,N/A,89.41165265,-60.5300021,1.397769259,1.529443834,1.54153066,1.541464276,1.521233333,1.434766119,1.418592759,1.414885484,1.415898783,1.41343738,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose2-optall_APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2571688,1.9648,0.16657,-572.080476,-572.12383,138.6043,176.4959,333.7027136,177.2735743,0.549210992,1c4,N/A,N/A,N/A,N/A,62.90289698,-67.61565572,1.403831542,1.537615923,1.542486811,1.545094244,1.518478463,1.427646468,1.418482104,1.408457857,1.412090754,1.428807427,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose13-optall_APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2457878,2.8619,0.165733,-572.069564,-572.114092,68.8237,162.4458,20.36946413,90.73451706,0.790295546,3s1,N/A,N/A,N/A,N/A,-170.453493,-143.3246991,1.417619446,1.541699317,1.541021508,1.538340246,1.547512206,1.435595537,1.387881371,1.425089768,1.411663567,1.418952153,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose27-TS_APFD-ircf-APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2443457,1.3708,0.16528,-572.068251,-572.113339,80.1577,158.6277,274.7594913,90.22857584,0.724713322,1s5,N/A,N/A,N/A,N/A,90.86059158,-60.27997595,1.39859972,1.522866658,1.549381815,1.542107502,1.521749224,1.430937817,1.421808175,1.413878179,1.416087259,1.414336148,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose87-TS_APFD-ircr-APFD.log,N/A,C5H10O5,0,1,APFD,"6-31+G(d,p)",-572.2471446,3.2831,0.164798,-572.071459,-572.116736,105.9668,117.5221,30.99965579,2.926698223,0.582876361,4c1,N/A,N/A,N/A,N/A,-174.95435,176.6884458,1.404009839,1.534430478,1.522295495,1.526515312,1.531206835,1.415409671,1.391609465,1.412727617,1.426670291,1.409548969,N/A,N/A,N/A,N/A,N/A,N/A,N/A
