"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"beta-xylose53-optall_pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.352400608172","1.8447","0.161864","-0.179681","-0.225345","42.6734","158.6157","1.939411973912065","96.10144215704571","0.659524470946424","o3b","N/A","N/A","N/A","N/A","166.29461635403177","-106.67006641726775","1.4072424806457486","1.5659364984589892","1.5561472121598907","1.5528149352430893","1.549740388387681","1.411411407934979","1.392455983379726","1.418342631136426","1.4087224826962907","1.4090720983948977","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose81-TS_pm3mm-ircr-pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.357785531617","0.2285","0.161578","-0.185053","-0.231949","23.1602","109.8328","358.3547124177904","88.6802494324853","0.6374165817474826","o3b","N/A","N/A","N/A","N/A","-172.24464512430836","-110.74540473493218","1.4129863287505653","1.561164957220729","1.5575046919932536","1.5567196596683681","1.5498187455612351","1.4096957102708372","1.393630492031873","1.413700014957912","1.4049164382474855","1.4052540783349465","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose25-optall_pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.357068893799","1.3664","0.161293","-0.184629","-0.231744","16.4762","112.0789","354.92674169167867","86.86192518035516","0.6481636826874965","o3b","N/A","N/A","N/A","N/A","-177.08708037172144","-114.97344425389959","1.4137387312092007","1.5674686099316313","1.555324800021526","1.5566040216525845","1.5502747702401016","1.4094521293218862","1.3865902315381426","1.4119966883381845","1.406488158574753","1.4043896966479779","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose79-optall_pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.355880308955","1.3113","0.161819","-0.183284","-0.228628","45.1044","168.6033","2.924817823041854","93.85229499929733","0.6950887853678027","o3b","N/A","N/A","N/A","N/A","-175.62384956199827","-114.29750850525808","1.413054515952233","1.5695856131925399","1.556746582417317","1.5544476231603956","1.5516016639746817","1.412389164556993","1.3862133807271526","1.416847694546594","1.401597955635995","1.4071084711329116","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose50-TS_pm3mm-ircr-pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.35594456888","1.3499","0.161778","-0.183446","-0.228558","53.475","167.7943","2.674504300866379","94.12745040926548","0.6989086408289967","o3b","N/A","N/A","N/A","N/A","-175.13191801840784","-112.959650251065","1.4153912726454831","1.566262944342999","1.558078129610322","1.5549103229575654","1.5514756349037517","1.411373712600954","1.3858247227968623","1.4191987806103838","1.4012218763557753","1.4071040782337316","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose23-optall_pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.354640229046","1.7021","0.161455","-0.18234","-0.227777","52.0507","165.9031","4.329334080441679","94.13131720067786","0.6955278377833076","o3b","N/A","N/A","N/A","N/A","-168.57068176594086","-110.55437927062202","1.4161119247347649","1.5618233161702382","1.558142838497806","1.5555902195983362","1.5501453846004252","1.4112667315837215","1.3941469436702145","1.4209264524851382","1.3996402301698818","1.4082352658011372","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose89-optall_pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.355986929176","1.8355","0.161012","-0.183747","-0.230915","19.9291","109.4977","357.4055955674395","87.83880453984915","0.6505770632459975","o3b","N/A","N/A","N/A","N/A","170.01515713297886","-111.0577245538396","1.416876553399766","1.5593285263054728","1.5575471143692574","1.556727692609404","1.5496321732927458","1.408145966128867","1.3942172234587409","1.4147047800555423","1.4042753780516124","1.4057890992360844","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose86-optall_pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.353606684775","0.957","0.159862","-0.18198","-0.230677","25.7214","64.6884","24.453627054474648","86.93011902915738","0.6376926551673435","3s1","N/A","N/A","N/A","N/A","-175.55897667918615","-139.6112329231275","1.4086552498769875","1.567975966738649","1.5526830332698303","1.5558234080007285","1.5461329737913876","1.4096172428648848","1.3876433489106639","1.414414806907083","1.4137735627299024","1.4071586277502617","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose44-TS_pm3mm-ircf-pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.351663499506","1.4256","0.161878","-0.179246","-0.223722","98.5687","127.4628","335.26795763922024","101.34303498031308","0.674885168656144","os2","N/A","N/A","N/A","N/A","136.14404438414988","-75.53136213096231","1.4162805949902724","1.5606598126260571","1.5519417888239238","1.560133765990596","1.5486876360706183","1.4068470386427945","1.4045051988661346","1.4028901895462096","1.4021035519126253","1.4231964818664355","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose22-optall_pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.35620111178","1.8167","0.161081","-0.183986","-0.230279","45.6559","107.7762","338.4390426295246","87.86071720561193","0.6605603228144357","os2","N/A","N/A","N/A","N/A","-158.24415807843098","-94.87341244348738","1.4184312666653962","1.5623829142383756","1.5535941288142152","1.5616241376342774","1.5468442823587643","1.4073405310094638","1.3938728637788311","1.404239921030947","1.4039874492651279","1.4145826064875109","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
