"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"beta-xylose28-TS_pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.351246785423","2.6715","0.159964","-0.180472","-0.225869","-52.0597","85.523","225.29913342820493","78.99898919186997","0.6208660108507207","1s3","N/A","N/A","N/A","N/A","78.90215080731468","94.03429630449044","1.4014532696615325","1.5613876182569142","1.5531409250499453","1.5519690010760523","1.5370868544688687","1.4175986738488435","1.4049787511396745","1.4122005521968188","1.407369816189405","1.4129053125489337","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose74-TS_pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.347279777292","1.3111","0.158863","-0.177278","-0.224125","-113.3406","32.6489","82.32604998838501","57.1912835406022","0.5440529358279912","2h1","N/A","N/A","N/A","N/A","170.72395677795166","175.35182800356478","1.409200491451447","1.5513340328240077","1.5499146504272425","1.5554003818804985","1.5508527239135252","1.4083723905238985","1.3950812628965394","1.4134636252302357","1.4156867287422734","1.418388097709509","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose43-TS_pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.352276129635","1.1731","0.160696","-0.180974","-0.226754","-116.1247","26.8633","87.26085871911981","55.44411556680906","0.5278193854175495","2h1","N/A","N/A","N/A","N/A","-170.80004799516","-173.56949668804583","1.4048134687516347","1.5525753522718309","1.5486514153869488","1.5595430547269287","1.5502476255353532","1.4109678918093778","1.3929624357411796","1.412835036973178","1.4137546834051515","1.4093493323672452","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose75-TS_pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.350308112809","1.7448","0.159779","-0.179668","-0.225757","-113.3331","36.8572","87.74636099743563","56.47049895029347","0.5363908101294621","2h1","N/A","N/A","N/A","N/A","170.47986520401864","174.02355144855338","1.4057919690793517","1.5530193948248046","1.5485223289962593","1.5557121243883778","1.5508682151994737","1.4100159664234304","1.3935161025818819","1.4128072471749287","1.4155842069326003","1.417611948994858","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose39-TS_pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.35174799798","2.4993","0.161304","-0.180019","-0.225028","-122.4355","38.2113","256.6585289827275","116.35431948017408","0.4679264688022819","1e","N/A","N/A","N/A","N/A","-72.03160266146129","-63.93275142620086","1.4032645990350503","1.5496146900504009","1.5525859202160113","1.5612750216659461","1.54738321048472","1.413890183256819","1.4006444250451289","1.4060731712407428","1.4066158222190595","1.40905268187176","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose84-TS_pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.353128430508","1.7834","0.16027","-0.182293","-0.227496","-20.4735","38.055","295.54730657419407","69.90050240696223","0.5747333343967226","e5","N/A","N/A","N/A","N/A","140.87370948672466","93.26952588503767","1.4104812694974007","1.5627352338672091","1.5547259959092463","1.5581395243690468","1.5388879809619025","1.4078949974742436","1.3936859406067779","1.4173660613701742","1.4144870119477944","1.406123422608414","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose10-TS_pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.350489688993","2.3585","0.160325","-0.179502","-0.225082","-50.5005","33.2804","290.15970365975306","56.571066923937366","0.5298511710424919","e5","N/A","N/A","N/A","N/A","146.09990996039784","-107.50788394471866","1.4094875015958808","1.5651704265577604","1.563232077122907","1.5521186977422177","1.540193600422037","1.407506676470844","1.3972478954587841","1.4148979512664508","1.4065226590741444","1.41253417846472","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose37-TS_pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.352408366469","1.3422","0.161349","-0.180897","-0.224948","-147.8245","57.0783","307.33412514914744","119.2739940864717","0.5014460758254007","e2","N/A","N/A","N/A","N/A","97.32967929249307","-63.428216613708855","1.40156666121059","1.551866693994687","1.548596710634825","1.5576816690883928","1.5441766849072034","1.4149426292132838","1.4084595616505993","1.4009538535829795","1.4053138993662577","1.4176475343487183","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose76-TS_pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.35180245165","2.3274","0.160496","-0.180851","-0.225181","-36.2406","105.2995","232.61658137859328","79.57318734257976","0.6557327517429117","14b","N/A","N/A","N/A","N/A","-85.39767470915761","91.08452096190489","1.402382546834493","1.5636468431269896","1.555438334546889","1.5505539162457396","1.5397167001448675","1.4185548868411824","1.3960730266715993","1.4118304310454568","1.4143827776556812","1.4097358768921928","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose56-TS_pm3mm.log","N/A","C5H10O5","0","1","N/A","N/A","-0.352207292108","1.7612","0.159393","-0.18171","-0.228615","-80.8364","31.5636","238.49851229116942","55.285389347066314","0.5417143802285385","4e","N/A","N/A","N/A","N/A","-116.2964871968471","113.23986169919603","1.4118646234037455","1.5587819770413691","1.5534961935795015","1.5471940942674256","1.537059951364617","1.4046169560570598","1.4012852538876588","1.4151274250066668","1.4136538801594967","1.4062831026596319","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
