File Name,Pucker,phi,theta,q_ts,energy (A.U.),H298 (Hartrees),G298 (Hartrees),freq1,phi_lm1,theta_lm1,phi_lm2,theta_lm2
puck27,14b,243.1,84.1,0.65,10,9.5,10.3,-56.1,163.9,88.5,274.2,89.4
puck28,14b,235.9,84.5,0.65,10.5,9.9,10.7,-49.4,272.4,89.2,155.5,86.8
puck29,14b,237.5,94,0.68,12.8,12.2,12.6,-53.3,264.8,95.1,196.9,87.3
puck30,14b,237.7,86.6,0.65,17.1,16.2,16,-67.4,328.7,92.5,147.9,84.7
puck31,14b,239,88.3,0.65,16.5,15.5,15.6,-54.6,328.8,92.5,195,86.7
puck32,1e,255,121.3,0.54,11.2,10.9,11.9,-118.5,327.3,177.8,264.9,92.6
puck33,1e,225.4,123.6,0.53,15,14.5,14.9,-92.4,30,177.8,194.7,86.2
puck34,1e,228.8,123.5,0.53,15.8,15.2,15.4,-104.4,129.1,174.2,195.7,86.2
puck35,1e,227.9,126.4,0.53,15.5,15,15.7,-96.8,210.9,87.7,112,170.6
puck36,1e,231.5,123.4,0.54,15.8,15.3,15.9,-96.4,44.8,177.7,249.2,91.8
puck37,1h2,280,125.9,0.48,13.6,13.1,13.5,-152.4,274.1,89.4,327,177.9
puck38,1h2,257,120.8,0.54,13.1,12.6,13.3,-127.3,264.9,92.6,30.4,177.8
puck39,1h2,264.5,120.7,0.54,13.1,12.7,13.6,-133.3,45.3,177.7,267.5,94.5
puck40,1ho,224.6,126,0.52,13.7,13.3,14.1,-94.2,326.4,177.8,195.6,86.2
puck41,25b,134.4,86.4,0.71,10.1,9.3,8.9,-216.6,148,84.7,96.7,88.1
puck42,2h3,148.6,62,0.58,10.8,10.2,10.2,-185.3,50.8,1.3,147.9,84.7
puck43,2h3,136.6,60,0.56,14.4,13.6,13.3,-205.3,50.8,1.3,113.9,91.6
puck44,3h2,330.9,114.9,0.55,11.5,11.2,12.4,-174.7,326.1,177.9,5.3,89.6
puck45,3h2,327.9,116.5,0.53,12.2,11.8,12.7,-180.1,45.2,177.7,18.9,89.9
puck46,3h2,332.3,114,0.55,12.3,12,13,-173,30.6,177.8,17.1,90.8
puck47,3h2,331.5,115.6,0.54,12.6,12.3,13,-182.5,66.3,176.6,7.1,89.7
puck48,3h2,328.3,120.3,0.52,12.9,12.5,13.3,-202.5,328.3,92.4,204.8,177.4
puck49,3h2,327.8,119.8,0.52,13.8,13.3,14,-200.9,328.8,92.5,210.1,177.6
puck50,3h2,331.6,120,0.52,14.1,13.6,14,-205,328.3,92.4,166.4,177.4
puck51,3h4,35.7,115,0.55,13.2,12.5,13,-137.2,27.1,92.1,29.9,177.8
puck52,3h4,35.6,116.6,0.54,14.5,13.8,14.2,-138.7,155.5,86.8,45.1,177.7
puck53,3h4,25.7,117.3,0.53,15.6,14.8,14.8,-135.9,148,84.7,210.7,177.6
puck54,4h3,206,54.6,0.54,11.1,10.5,10.6,-151.3,161.9,88.4,308.3,3.8
puck55,4h3,196.1,54.6,0.54,11.9,11.2,11.3,-168.4,163.4,88,350.9,1.6
puck56,4h3,199.4,53.9,0.53,11.8,11.2,11.5,-156.9,157.1,89.9,331.1,2.8
puck57,4h5,280.4,63.4,0.58,15.4,14.6,14.6,-80.4,340.3,3.9,273,89.7
puck58,5e,126.3,125.2,0.56,11.3,10.9,11.9,-68.2,114.2,168.7,157.3,89.9
puck59,5e,120.8,125.8,0.56,11.7,11.2,12,-66.9,112.3,170.7,150.7,89.7
puck60,5e,120.6,126.7,0.55,11.9,11.4,12.4,-73.9,141.9,91.5,44.9,177.7
puck61,5e,123.1,121,0.58,13.3,12.7,12.8,-96.4,66.2,176.6,141.9,91.5
puck62,5e,112.2,124.7,0.51,15.2,14.5,14.7,-70.8,82.7,90.5,112.2,170.6
puck63,5e,113.3,125.4,0.55,15,14.4,15.1,-80.4,204.8,177.4,99.5,94.1
puck64,5e,113.9,126.7,0.55,15.5,14.8,15.5,-84.9,210.3,177.6,113.9,91.6
puck65,5e,135.9,118.4,0.54,17.2,16.5,16.6,-68.8,195.6,86.1,129.3,174.2
puck66,5ho,145.3,124.7,0.51,15.3,14.8,15.4,-84.3,163.3,88,327,177.9
puck67,5ho,142.7,127.2,0.5,16.3,15.7,16.2,-80.8,326.1,177.8,164,88.5
puck68,b14,59.3,87.7,0.69,13.7,12.7,13,-57.1,96.6,88.1,30.8,91.8
puck69,b25,314.5,90.3,0.69,10.4,9.8,10.7,-29.4,278.3,90.8,17,90.8
puck70,b25,302.6,92.9,0.66,11,10.4,11.5,-52.4,19,89.9,275.8,91.6
puck71,b25,303.2,92.5,0.66,10.9,10.4,11.4,-51,7.3,89.7,276.7,91.5
puck72,b25,291.7,91,0.68,11.8,11.2,12.3,-49,328.3,92.4,274,91.6
puck73,bo3,184.1,86.9,0.71,10.4,9.8,10.5,-33.5,200.4,87.5,157.4,87.4
puck74,e1,46,63.1,0.58,15,14.3,14.4,-102.5,335.5,5.1,94.3,92.3
puck75,e1,48.4,62.2,0.57,15.7,14.9,15,-106.7,88.6,90.3,340.4,3.9
puck76,e1,49.7,63.2,0.6,18,17.1,16.7,-99,353.2,2.4,48.5,86.8
puck77,e3,174.1,57.2,0.55,9.1,8.6,8.6,-184.8,14,2.1,155.5,86.8
puck78,e5,290.4,63,0.57,16.1,15.3,15.3,-81.1,274,91.6,1.5,3.6
puck79,o3b,1.4,89.2,0.74,9.8,9.4,10.9,-42.5,339.4,90.8,22.1,89.6
puck80,o3b,5.8,89.8,0.69,12.5,11.7,12.7,-59.5,328.3,92.4,48.4,86.8
puck81,oe,12.3,61.6,0.57,16.6,15.9,16.1,-85.4,13.7,2.1,19,89.9
puck82,oh1,31.6,62.3,0.58,14.5,13.9,14.4,-89.2,14.3,2.1,19,89.9
puck83,oh1,37.2,61.6,0.58,14.9,14.1,14.4,-92.4,14.4,2.1,45.3,86.4
puck84,oh1,29.3,65.5,0.58,15.4,14.6,14.9,-83.7,31.1,89.9,351.3,4.8
puck85,oh1,38.3,62.1,0.58,15.8,15.2,15.5,-92.6,22,89.6,50.8,1.2
puck86,oh1,31.6,65,0.58,16,15.3,15.5,-85,33.7,90,1.8,3.6
puck87,oh1,43,65,0.61,17.2,16.5,16.9,-85.9,22,3.8,7.4,89.7
puck88,oh5,327.2,63.6,0.57,17.2,16.4,16.3,-83.3,51.1,1.3,328.8,92.5
puck89,oh5,333.4,61.1,0.57,17,16.3,16.4,-81.8,7.5,89.7,326.3,4.5
puck90,os2,315.7,90.6,0.69,9.8,9.3,10.2,-29.9,274.2,89.4,5.6,89.6
n/a,n/a,334.932566745,53.1031725559,n/a,n/a,n/a,6.71009,n/a,316.975311,5.718759102,357.2457163,88.28428874
n/a,n/a,269.7966977,65.99793107,n/a,n/a,n/a,3.83785,n/a,316.975311,5.718759102,357.2457163,88.28428874
n/a,n/a,26.54049539,57.09996421,n/a,n/a,n/a,5.37712,n/a,316.975311,5.718759102,357.2457163,88.28428874
n/a,n/a,56.3289376187,60.322058632,n/a,n/a,n/a,6.39498,n/a,127.39053621392546,92.04386607593658,196.26741857329182,1.2588910050211268
n/a,n/a,85.7627950476,56.3443696372,n/a,n/a,n/a,4.95665,n/a,127.39053621392546,92.04386607593658,196.26741857329182,1.2588910050211268
n/a,n/a,239.490558936,52.7537968883,n/a,n/a,n/a,3.79689,n/a,168.2885589,92.12564455,311.5491536,5.039475708
n/a,n/a,34.6749950097,56.2123487749,n/a,n/a,n/a,7.35773,n/a,168.2885589,92.12564455,311.5491536,5.039475708
n/a,n/a,121.8287752,58.28011085,n/a,n/a,n/a,4.29342,n/a,168.2885589,92.12564455,311.5491536,5.039475708
n/a,n/a,284.4363799,33.02241947,n/a,n/a,n/a,6.9346,n/a,277.3073054,88.83918296,0.777145396,2.58775121
n/a,n/a,321.0470435,56.7890874247,n/a,n/a,n/a,7.99591,n/a,277.3073054,88.83918296,0.777145396,2.58775121
n/a,n/a,320.00953002,58.7613513046,n/a,n/a,n/a,7.38084,n/a,331.024759,90.26570234,336.9036806,6.396631891
n/a,n/a,292.699642427,62.5147943362,n/a,n/a,n/a,4.42164,n/a,331.024759,90.26570234,336.9036806,6.396631891
n/a,n/a,343.603567021,80.3613694125,n/a,n/a,n/a,4.58934,n/a,279.0428791,91.59589642,352.3151607,90.86263006
n/a,n/a,9.186947459,87.48117234,n/a,n/a,n/a,5.28551,n/a,20.63994233,88.35721008,331.0240931,90.26572323
n/a,n/a,14.86312565,125.2655347,n/a,n/a,n/a,6.91264,n/a,196.4143121,174.756781,13.3039005,88.11593745
n/a,n/a,75.57415119,87.58433751,n/a,n/a,n/a,8.80144,n/a,196.4143121,174.756781,13.3039005,88.11593745
n/a,n/a,335.011145047,115.643887162,n/a,n/a,n/a,4.36499,n/a,196.4143121,174.756781,13.3039005,88.11593745
n/a,n/a,43.8549125516,118.864211234,n/a,n/a,n/a,8.2551,n/a,196.4143121,174.756781,13.3039005,88.11593745
n/a,n/a,89.9620150657,121.264531213,n/a,n/a,n/a,4.98396,n/a,217.5525512,177.4858218,100.4515817,86.42816081
n/a,n/a,129.630782819,119.830501957,n/a,n/a,n/a,7.14285,n/a,217.5525512,177.4858218,100.4515817,86.42816081
n/a,n/a,21.51675419,116.1028595,n/a,n/a,n/a,13.49458,n/a,217.5525512,177.4858218,100.4515817,86.42816081
n/a,n/a,232.478350198,78.8577626694,n/a,n/a,n/a,4.23891,n/a,279.46464890636224,84.6657002059004,172.17251656820528,87.07138590709731
n/a,n/a,265.8016512,63.42339697,n/a,n/a,n/a,5.16816,n/a,279.46464890636224,84.6657002059004,172.17251656820528,87.07138590709731
n/a,n/a,4.70640379,82.53257625,n/a,n/a,n/a,7.27973,n/a,162.83599149862053,88.81299057135762,350.2191713602889,90.16598900163011
n/a,n/a,259.936737465,78.783650391,n/a,n/a,n/a,5.04894,n/a,162.83599149862053,88.81299057135762,350.2191713602889,90.16598900163011
n/a,n/a,44.4744528789,86.355384844,n/a,n/a,n/a,7.61733,n/a,162.83599149862053,88.81299057135762,350.2191713602889,90.16598900163011
n/a,n/a,134.72043885,117.219950828,n/a,n/a,n/a,5.06576,n/a,123.9746258,174.6961898,168.2867789,92.12647728
n/a,n/a,121.368448932,139.809319371,n/a,n/a,n/a,4.35715,n/a,123.9746258,174.6961898,168.2867789,92.12647728
n/a,n/a,233.706929852,83.3355435644,n/a,n/a,n/a,4.85498,n/a,281.6860537,88.12725139,199.0955427,88.84002649
n/a,n/a,243.39219553,85.3965006911,n/a,n/a,n/a,5.00607,n/a,281.6860537,88.12725139,199.0955427,88.84002649
n/a,n/a,265.5449362,61.13487145,n/a,n/a,n/a,5.92619,n/a,281.6860537,88.12725139,199.0955427,88.84002649
n/a,n/a,167.431758,139.9737892,n/a,n/a,n/a,5.82454,n/a,205.0985873,89.69320205,127.8245124,175.0510046
n/a,n/a,224.3383903,118.5601995,n/a,n/a,n/a,9.88327,n/a,205.0985873,89.69320205,127.8245124,175.0510046
n/a,n/a,161.763685188,118.23027463,n/a,n/a,n/a,5.57451,n/a,205.0985873,89.69320205,127.8245124,175.0510046
n/a,n/a,216.0588979,88.16402388,n/a,n/a,n/a,5.15499,n/a,205.0985873,89.69320205,127.8245124,175.0510046
n/a,n/a,307.835341381,88.8102906734,n/a,n/a,n/a,4.22753,n/a,339.2843740594226,90.79086217571614,268.54877661667643,87.33065018369517
n/a,n/a,322.19929028,112.14170718,n/a,n/a,n/a,4.90812,n/a,254.2598038,89.26886302,158.9269792,173.1331544
n/a,n/a,260.1176954,99.31230115,n/a,n/a,n/a,5.20958,n/a,254.2598038,89.26886302,158.9269792,173.1331544
n/a,n/a,224.110657757,121.843533406,n/a,n/a,n/a,9.41948,n/a,254.2598038,89.26886302,158.9269792,173.1331544
n/a,n/a,37.41231397,78.98177352,n/a,n/a,n/a,8.97965,n/a,254.2598038,89.26886302,158.9269792,173.1331544
n/a,n/a,280.083628954,102.679581288,n/a,n/a,n/a,4.15957,n/a,254.2598038,89.26886302,158.9269792,173.1331544
n/a,n/a,261.2021207,77.6270482,n/a,n/a,n/a,5.31626,n/a,254.2598038,89.26886302,158.9269792,173.1331544
n/a,n/a,312.72695579,119.312028734,n/a,n/a,n/a,6.06575,n/a,149.9669633,174.0945306,333.885072,90.07493201
n/a,n/a,337.474075044,117.187800139,n/a,n/a,n/a,7.55539,n/a,149.9669633,174.0945306,333.885072,90.07493201
n/a,n/a,47.8608648583,105.492900395,n/a,n/a,n/a,7.9085,n/a,149.9669633,174.0945306,333.885072,90.07493201
