"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"oxane-14b-freeze_b3lyp-TS_b3lyp-ircf_b3lyp-minIRC_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.784168054","1.6429","0.14599","-271.631466","-271.667383","104.4726","241.1083","333.0281498525289","90.24476464280576","0.7566798746128316","os2","N/A","N/A","N/A","N/A","N/A","N/A","1.431737779312958","1.544692476456398","1.5347760358681","1.5456724400046733","1.544340255628273","1.4253693938828629","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1c4-freeze_b3lyp-TS_b3lyp-ircf_b3lyp-minIRC_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.79356317","1.6399","0.146138","-271.641006","-271.676032","240.0082","246.1951","180.139954692962","178.08437771908575","0.556648287556486","1c4","N/A","N/A","N/A","N/A","N/A","N/A","1.427188762412667","1.530771427451205","1.5372210985342998","1.5372945108738925","1.530756357993982","1.4272731325478667","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1s5-freeze_b3lyp-TS_b3lyp-ircf_b3lyp-minIRC_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.782897803","1.8583","0.145799","-271.630328","-271.666402","94.7851","255.5021","269.91879674116285","90.00504333137978","0.7273946478268112","1s5","N/A","N/A","N/A","N/A","N/A","N/A","1.4338380374777342","1.527724949302066","1.5480136938141082","1.5479692542702521","1.5277193279218535","1.4338716894792223","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1c4-freeze_b3lyp-TS_b3lyp-ircr_b3lyp-minIRC_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.784166155","1.6429","0.14599","-271.631464","-271.66738","104.662","241.1564","152.9632416456918","89.75191198569162","0.7566696607408119","2so","N/A","N/A","N/A","N/A","N/A","N/A","1.4317135912555976","1.5446144366345924","1.5347904296238624","1.545678468179589","1.5443467524393608","1.4252495341746303","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-14b-freeze_b3lyp-TS_b3lyp-ircr_b3lyp-minIRC_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.782897464","1.8584","0.145791","-271.630332","-271.666419","93.8678","255.2755","270.0315803646406","89.99609338545673","0.7274648106333572","1s5","N/A","N/A","N/A","N/A","N/A","N/A","1.4339125378338111","1.52771212277019","1.547973971820586","1.5479966726349899","1.5277026539798246","1.4338444336175387","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1s5-freeze_b3lyp-TS_b3lyp-ircr_b3lyp-minIRC_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.784167553","1.6439","0.145997","-271.631461","-271.667368","105.3821","241.2753","207.11671400801032","89.7485302889981","0.7567402017408094","1s3","N/A","N/A","N/A","N/A","N/A","N/A","1.4253151719047965","1.5442687921427412","1.5457603556923045","1.53472441143288","1.544592012864886","1.4317988440475848","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-4e-freeze_b3lyp-TS_b3lyp-ircf_b3lyp-minIRC_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.793563433","1.6386","0.146141","-271.641004","-271.676029","240.1853","246.0396","359.6959366023975","1.8624843526041892","0.5563106353674182","4c1","N/A","N/A","N/A","N/A","N/A","N/A","1.4268096095225882","1.5308975400411355","1.5373121710651354","1.5373174217987644","1.5308652429920144","1.4268097631380297","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-4e-freeze_b3lyp-TS_b3lyp-ircr_b3lyp-minIRC_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.784169004","1.644","0.145995","-271.631465","-271.667373","105.2976","241.439","207.12830596431735","89.74863657471084","0.7567709293920435","1s3","N/A","N/A","N/A","N/A","N/A","N/A","1.425308960536627","1.544255616789526","1.545779211401486","1.5347222406005587","1.5445951681570158","1.4318066297335683","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-5s1-freeze_b3lyp-TS_b3lyp-ircf_b3lyp-minIRC_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.784167649","1.6445","0.145994","-271.631464","-271.667373","105.2352","241.242","27.15452711254283","90.24527512938323","0.7567757981702986","3s1","N/A","N/A","N/A","N/A","N/A","N/A","1.4253366974529211","1.5442222602193636","1.5457498472941864","1.5347325540278995","1.5445414242065505","1.431905042079956","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-5s1-freeze_b3lyp-TS_b3lyp-ircr_b3lyp-minIRC_b3lyp.log","N/A","C5H10O","0","1","b3lyp","6-31+G(d,p)","-271.782897759","1.8583","0.145799","-271.630328","-271.666402","94.8251","255.5098","89.91636474083401","89.99541058753873","0.727393350851432","5s1","N/A","N/A","N/A","N/A","N/A","N/A","1.4338364691944476","1.527724639853007","1.5480169816413512","1.5479669549047228","1.5277192766477092","1.4338723651587684","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
