File Name,Solvent type,Stoichiometry,Charge,Mult,Functional,Basis Set,Energy (A.U.),dipole,ZPE (kcal/mol),H298 (Hartrees),G298 (Hartrees),Freq 1,Freq 2,phi,theta,Q,Pucker,HM1 (deg),HM2 (deg),AC1 (deg),AC2 (deg),Ano1 (deg),Ano2 (deg),R1 (A),R2 (A),R3 (A),R4 (A),R5 (A),R6 (A),O1 (A),O2 (A),O3 (A),O4 (A),O6 (A),Ion1 (A),Ion2 (A),Ion3 (A),Ion4 (A),Ion5 (A),Ion6 (A)
oxane-5h4-freeze_dftb-TS_dftb-ircf-dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67770283,0.6167,0.143753,-15.52724,-15.56344,72.1147,230.0713,152.3141055,90.28367559,0.76162904,2so,N/A,N/A,N/A,N/A,N/A,N/A,1.456917995,1.519089623,1.513687084,1.519804507,1.520898797,1.452813836,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-3s1-freeze_dftb-TS_dftb-ircr-dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67823935,0.2155,0.143607,-15.527961,-15.563891,97.5868,238.834,90.00074851,90.00000917,0.747160862,5s1,N/A,N/A,N/A,N/A,N/A,N/A,1.45810599,1.510128389,1.520802796,1.520804205,1.510128399,1.458106917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-bo3-freeze_dftb-TS_dftb-ircr-dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67770303,0.6065,0.143752,-15.527241,-15.563441,72.1837,229.9485,27.68567558,89.71689932,0.761629842,3s1,N/A,N/A,N/A,N/A,N/A,N/A,1.452810861,1.520899399,1.519803738,1.513686319,1.519089417,1.456916988,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-1h2-freeze_dftb-TS_dftb-ircf-dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67770264,0.6107,0.143754,-15.527239,-15.563439,72.2025,230.0475,207.6855726,90.28376897,0.761627819,1s3,N/A,N/A,N/A,N/A,N/A,N/A,1.452812315,1.520898285,1.519804776,1.513687083,1.519088308,1.456917512,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-1ho-freeze_dftb-TS_dftb-ircr-dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.68389684,0.447,0.144058,-15.533429,-15.568518,214.3662,232.2708,180.0038847,177.4470745,0.576294664,1c4,N/A,N/A,N/A,N/A,N/A,N/A,1.454964533,1.514489563,1.515554111,1.515552265,1.514490612,1.454959908,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-o3b-freeze_dftb-TS_dftb-ircr-dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67823932,0.2344,0.143599,-15.527968,-15.563902,97.4794,238.5296,269.9994571,90.00027511,0.747158298,1s5,N/A,N/A,N/A,N/A,N/A,N/A,1.458107019,1.510129408,1.520801062,1.520804976,1.510129676,1.458104429,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-4c1-freeze_dftb-TS_dftb-ircr-dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.68389684,0.4054,0.144058,-15.533429,-15.568518,214.375,232.2637,0.009802561,2.553275568,0.576299549,4c1,N/A,N/A,N/A,N/A,N/A,N/A,1.454960559,1.514491198,1.5155517,1.515552333,1.514492134,1.454954523,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-os2-freeze_dftb-TS_dftb-ircf-dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67770284,0.6073,0.143752,-15.527242,-15.563438,72.4036,230.1014,332.3140742,89.71691734,0.761630969,os2,N/A,N/A,N/A,N/A,N/A,N/A,1.456917473,1.519089176,1.51368684,1.519804413,1.520898777,1.452811606,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-2h1-freeze_dftb-TS_dftb-ircr-dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67770306,0.6169,0.143754,-15.527239,-15.563437,72.2869,230.0925,27.68471935,89.71672107,0.761626346,3s1,N/A,N/A,N/A,N/A,N/A,N/A,1.452811799,1.520898284,1.519803334,1.513686395,1.519089869,1.456915004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-1s3-freeze_dftb-TS_dftb-ircr-dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67770265,0.6043,0.143755,-15.527239,-15.563433,72.5759,230.1438,207.6857917,90.28309522,0.761630418,1s3,N/A,N/A,N/A,N/A,N/A,N/A,1.452811135,1.520899186,1.519803286,1.513687236,1.51908995,1.456916813,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-3h4-freeze_dftb-TS_dftb-ircr-dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.68389717,0.3646,0.144058,-15.53343,-15.568519,214.3808,232.2777,179.9642692,177.4472968,0.576296777,1c4,N/A,N/A,N/A,N/A,N/A,N/A,1.454949392,1.514492,1.51555265,1.515552125,1.514488836,1.454968209,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-5s1-freeze_dftb-TS_dftb-ircf-dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67823897,0.2258,0.14358,-15.527982,-15.563931,96.5981,237.5772,90.00003603,89.99995222,0.74715854,5s1,N/A,N/A,N/A,N/A,N/A,N/A,1.458109492,1.510128421,1.520804064,1.520803281,1.510128954,1.458106918,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
