"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"oxane-25b-freeze_pm3mm-TS_pm3mm-ircr_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.085778077572","1.5567","0.14159","0.062724","0.026","57.4469","205.5632","90.04307526103541","89.98419400198136","0.6831331848517586","5s1","N/A","N/A","N/A","N/A","N/A","N/A","1.4167242899855288","1.523205055081554","1.5239844856707039","1.5240153122790467","1.5232093048494681","1.4167277446669138","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-25b-freeze_pm3mm-TS_pm3mm-ircf_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0861778879582","1.3926","0.141784","0.062522","0.02541","34.246","211.9148","21.492964381399855","91.91439976580715","0.6793489364933004","3s1","N/A","N/A","N/A","N/A","N/A","N/A","1.411975619004096","1.5322650387517818","1.521657388367697","1.517999303154649","1.5294346828606313","1.416207572360069","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1s5-freeze_pm3mm-TS_pm3mm-ircf_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0861778937309","1.3925","0.141782","0.062521","0.025401","33.9847","211.794","201.47262511719165","88.0902926630964","0.67916875426073","1s3","N/A","N/A","N/A","N/A","N/A","N/A","1.4119727254309837","1.5322603959474381","1.5216622928541013","1.517998566807624","1.5294410226599127","1.4162045284622558","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-2h1-freeze_pm3mm-TS_pm3mm-ircr_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0915730293044","1.381","0.142417","0.057347","0.022101","196.6898","226.5768","179.77944241958122","2.051424932206058","0.53900796058929","4c1","N/A","N/A","N/A","N/A","N/A","N/A","1.4157703989722346","1.5273923601295119","1.5206700283144927","1.5205561743286566","1.5272271984354522","1.4156448913629434","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-2h1-freeze_pm3mm-TS_pm3mm-ircf_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0857780746204","1.5566","0.141588","0.062723","0.025994","57.2226","205.4766","89.97169819005043","89.99963629054221","0.6829977009249731","5s1","N/A","N/A","N/A","N/A","N/A","N/A","1.4167206533748988","1.5232187139957938","1.5240112612759789","1.5240045223627128","1.5232148516827824","1.4167331659070457","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1s5-freeze_pm3mm-TS_pm3mm-ircr_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0861778907835","1.3928","0.141782","0.06252","0.025406","34.1883","211.7581","158.45273530946753","88.10006172591181","0.6792167880191815","2so","N/A","N/A","N/A","N/A","N/A","N/A","1.4162144638281309","1.5294307882467255","1.5179976575512228","1.5216744117415524","1.532254059749231","1.4119733092155107","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-2h3-freeze_pm3mm-TS_pm3mm-ircf_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0915730952532","1.3809","0.142419","0.05735","0.022102","196.4339","226.524","179.74803597265995","2.085349795221976","0.538785220863427","4c1","N/A","N/A","N/A","N/A","N/A","N/A","1.4156313543641932","1.527408077750671","1.5206237409592813","1.5206264524139386","1.527409196050947","1.41563643754108","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-2h3-freeze_pm3mm-TS_pm3mm-ircr_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0861777959778","1.3904","0.141784","0.062524","0.02538","33.0293","211.9406","200.9354374989304","88.06753862667105","0.6789964874162285","1s3","N/A","N/A","N/A","N/A","N/A","N/A","1.4119947536184403","1.5323070772668252","1.521574753695","1.5180053474006605","1.5295270791041917","1.4161192401383436","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-2so-freeze_pm3mm-TS_pm3mm-ircf_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0857780788652","1.5566","0.141589","0.062723","0.026002","57.6489","205.6198","270.0369018072194","89.99807893953013","0.6831374995817603","1s5","N/A","N/A","N/A","N/A","N/A","N/A","1.416751469810072","1.5232488398807333","1.5240360901520673","1.5240345663757104","1.5232302558513602","1.4167255289709435","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-2so-freeze_pm3mm-TS_pm3mm-ircr_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0861778419532","1.3912","0.141783","0.062523","0.025382","33.1774","211.8898","201.0992208879676","88.06102773316107","0.6789403335204984","1s3","N/A","N/A","N/A","N/A","N/A","N/A","1.4119765385193197","1.5322975547200357","1.5216038331040704","1.518004963752754","1.5294962061182107","1.4161479021419336","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-3s1-freeze_pm3mm-TS_pm3mm-ircr_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0857780846282","1.5566","0.141591","0.062725","0.026003","57.6225","205.629","269.99092059964767","89.99943596341764","0.6832189221506032","1s5","N/A","N/A","N/A","N/A","N/A","N/A","1.4167306066991001","1.5232158006487457","1.524009809517314","1.5240101902028085","1.5232169385330507","1.4167286723819066","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-3s1-freeze_pm3mm-TS_pm3mm-ircf_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0861778862464","1.3921","0.141782","0.062521","0.025393","33.6532","211.8198","338.66406568026457","91.92171585358284","0.679065305498913","os2","N/A","N/A","N/A","N/A","N/A","N/A","1.416184565958477","1.5294616391544444","1.517998609742117","1.521640023469743","1.5322738535699159","1.4119721913026475","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-3e-freeze_pm3mm-TS_pm3mm-ircr_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0915731830335","1.3811","0.142417","0.057347","0.022101","196.5576","226.6232","0.0014502748346988776","177.96431180724574","0.5389276146105009","1c4","N/A","N/A","N/A","N/A","N/A","N/A","1.4157227132842787","1.5274061191038877","1.5206870015479845","1.5206882273766704","1.5274060286727953","1.4157216865224604","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-3e-freeze_pm3mm-TS_pm3mm-ircf_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0861777968835","1.3904","0.141784","0.062524","0.02538","33.0407","211.9417","339.0617313075988","91.9323639692629","0.6790020372951979","os2","N/A","N/A","N/A","N/A","N/A","N/A","1.4161193538494559","1.5295270696172723","1.5180056930117225","1.5215750581795169","1.5323071177707817","1.4119954366236458","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-4h5-freeze_pm3mm-TS_pm3mm-ircr_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0915730441594","1.3815","0.142422","0.057352","0.022105","196.3925","226.6598","180.06384752173616","2.038664020763373","0.5388971827693328","4c1","N/A","N/A","N/A","N/A","N/A","N/A","1.4158359263731795","1.527306026893759","1.5204826526507955","1.5206459927188838","1.527335472652947","1.4156109547488676","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-b14-freeze_pm3mm-TS_pm3mm-ircf_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0857780790953","1.5566","0.141589","0.062723","0.026002","57.6372","205.6162","89.96849558371208","89.99830755094693","0.6831320925358715","5s1","N/A","N/A","N/A","N/A","N/A","N/A","1.4167260636767436","1.5232306383213936","1.5240343347352776","1.524037015384141","1.5232486418444628","1.4167511273120628","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-4h5-freeze_pm3mm-TS_pm3mm-ircf_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0857780746143","1.5566","0.141588","0.062723","0.025994","57.2225","205.4764","270.02835389388594","89.99967088635694","0.6829980640711066","1s5","N/A","N/A","N/A","N/A","N/A","N/A","1.4167342575412651","1.5232155292072098","1.5240043680495143","1.5240115243415975","1.5232184352239178","1.4167200275103757","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-b14-freeze_pm3mm-TS_pm3mm-ircr_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0861778937305","1.3926","0.141782","0.062521","0.025401","33.9865","211.7941","158.52697097153998","88.09040267805656","0.6791690269227433","2so","N/A","N/A","N/A","N/A","N/A","N/A","1.416204619940565","1.5294411685102505","1.5179986836940933","1.521661582921117","1.5322611349260935","1.4119726940394421","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-eo-freeze_pm3mm-TS_pm3mm-ircr_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0857780635321","1.5566","0.141589","0.062724","0.025995","57.18","205.4668","269.96326467339526","90.02230215461164","0.68300044245608","1s5","N/A","N/A","N/A","N/A","N/A","N/A","1.4166882843978064","1.523227094602115","1.5239882679456558","1.5239968965102915","1.5232109754869807","1.416699578839847","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-eo-freeze_pm3mm-TS_pm3mm-ircf_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0915730286155","1.381","0.142417","0.057347","0.022101","196.6924","226.5755","359.779656202827","177.94849059849582","0.5390083391498532","1c4","N/A","N/A","N/A","N/A","N/A","N/A","1.4157709042147322","1.5273908433420045","1.5206698988465575","1.5205562880847259","1.5272259015073704","1.4156452209395542","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-os2-freeze_pm3mm-TS_pm3mm-ircr_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0857780745904","1.5566","0.141588","0.062723","0.025994","57.219","205.4764","90.0285196398072","90.0003328696241","0.6829977063343246","5s1","N/A","N/A","N/A","N/A","N/A","N/A","1.4167327487324488","1.5232156957666896","1.5240050826759077","1.5240114622744805","1.523218659440922","1.4167200808409541","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-os2-freeze_pm3mm-TS_pm3mm-ircf_pm3mm-minIRC_pm3mm.log","N/A","C5H10O","0","1","N/A","N/A","-0.0915730280025","1.381","0.142417","0.057347","0.022101","196.6894","226.5743","0.22664709797917923","177.94887691350303","0.5390097394764207","1c4","N/A","N/A","N/A","N/A","N/A","N/A","1.4156414620220754","1.5272258377099963","1.5205577895213322","1.5206697111542666","1.5273919923146775","1.4157705529406945","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
