File Name,Solvent type,Stoichiometry,Charge,Mult,Functional,Basis Set,Energy (A.U.),dipole,ZPE (kcal/mol),H298 (Hartrees),G298 (Hartrees),Freq 1,Freq 2,phi,theta,Q,Pucker,HM1 (deg),HM2 (deg),AC1 (deg),AC2 (deg),Ano1 (deg),Ano2 (deg),R1 (A),R2 (A),R3 (A),R4 (A),R5 (A),R6 (A),O1 (A),O2 (A),O3 (A),O4 (A),O6 (A),Ion1 (A),Ion2 (A),Ion3 (A),Ion4 (A),Ion5 (A),Ion6 (A)
oxane-19-freeze_dftb3-TS_dftb3-ircr.log,N/A,C5H10O,0,1,N/A,N/A,-15.62881978,7.0195,0.14244,-15.479505,-15.516056,64.1843,218.7126,207.7851117,89.03029326,0.725286498,1s3,N/A,N/A,N/A,N/A,N/A,N/A,1.42318655,1.54124279,1.533402203,1.525669559,1.537520905,1.427309384,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-16-freeze_dftb3-TS_dftb3-ircr.log,N/A,C5H10O,0,1,N/A,N/A,-15.62929659,7.6726,0.142385,-15.480076,-15.516303,91.8693,231.7515,90.00021307,89.99909697,0.721357007,5s1,N/A,N/A,N/A,N/A,N/A,N/A,1.429174794,1.525873332,1.535296207,1.535294689,1.525882114,1.429144354,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-18-freeze_dftb3-TS_dftb3-ircr.log,N/A,C5H10O,0,1,N/A,N/A,-15.62929636,7.7592,0.142375,-15.480086,-15.51631,92.1605,231.6966,270.000311,90.00036363,0.721360282,1s5,N/A,N/A,N/A,N/A,N/A,N/A,1.429166031,1.525873451,1.53529881,1.535298752,1.525874348,1.429166387,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-14-freeze_dftb3-TS_dftb3-ircf.log,N/A,C5H10O,0,1,N/A,N/A,-15.62882004,6.9714,0.142498,-15.479449,-15.515993,64.6172,218.8589,332.2159168,90.96977802,0.725286323,os2,N/A,N/A,N/A,N/A,N/A,N/A,1.427311054,1.537520681,1.525668849,1.533402189,1.541243351,1.423185371,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-14-freeze_dftb3-TS_dftb3-ircr.log,N/A,C5H10O,0,1,N/A,N/A,-15.63455807,7.5042,0.142612,-15.485366,-15.520735,205.0748,222.039,179.9905582,178.999903,0.55306863,1c4,N/A,N/A,N/A,N/A,N/A,N/A,1.426100304,1.532246641,1.528511231,1.528511271,1.532248049,1.426100589,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-15-freeze_dftb3-TS_dftb3-ircf.log,N/A,C5H10O,0,1,N/A,N/A,-15.62929627,7.6744,0.142386,-15.480075,-15.516301,91.9104,231.7692,270.0001551,90.00089676,0.721357249,1s5,N/A,N/A,N/A,N/A,N/A,N/A,1.429174535,1.52587343,1.535295795,1.535294919,1.525883246,1.429143972,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-03-freeze_dftb3-optall_dftb3.log,N/A,C5H10O,0,1,N/A,N/A,-15.62929607,7.5617,0.142328,-15.480128,-15.516366,91.1753,232.2265,270.0085336,89.99837137,0.72155139,1s5,N/A,N/A,N/A,N/A,N/A,N/A,1.428858808,1.525963887,1.535388612,1.535392927,1.525967388,1.428852384,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-18-freeze_dftb3-TS_dftb3-ircf.log,N/A,C5H10O,0,1,N/A,N/A,-15.62881974,7.2935,0.142473,-15.479474,-15.516017,64.6818,218.845,332.2144906,90.96919198,0.725282418,os2,N/A,N/A,N/A,N/A,N/A,N/A,1.42730043,1.537523757,1.525668124,1.53340384,1.541242665,1.423184065,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-05-freeze_dftb3-optall_dftb3.log,N/A,C5H10O,0,1,N/A,N/A,-15.62882016,6.8674,0.142465,-15.479481,-15.516031,64.2484,218.7005,27.76691225,90.96625754,0.72529295,3s1,N/A,N/A,N/A,N/A,N/A,N/A,1.423167627,1.541262177,1.53340327,1.525662072,1.537537489,1.427303051,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-10-freeze_dftb3-TS_dftb3-ircf.log,N/A,C5H10O,0,1,N/A,N/A,-15.63455798,7.5026,0.142615,-15.485363,-15.520731,205.0482,222.0948,0.011435499,0.999287381,0.553071537,4c1,N/A,N/A,N/A,N/A,N/A,N/A,1.426100647,1.53224851,1.528509824,1.528509821,1.532248845,1.426100923,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
