"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"oxane-bo3-freeze_bmk-TS_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.598474523","1.4988","0.147139","-271.445458","-271.47959","-94.3317","239.4895","179.98274965781684","89.03314774729384","0.7501239561978706","bo3","N/A","N/A","N/A","N/A","N/A","N/A","1.4096139840066144","1.5629106024689963","1.5432137917974944","1.543076983346586","1.562924555926165","1.4096499447557893","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-e1-freeze_bmk-TS_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.591955805","1.61","0.147182","-271.438619","-271.474024","-225.0695","56.9373","335.80206901900243","62.33569378646437","0.5649785609981314","oh5","N/A","N/A","N/A","N/A","N/A","N/A","1.4069937390926797","1.5602417488190732","1.5670581721340149","1.5622816577202077","1.5357683095711412","1.4078744012439461","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-25b-freeze_bmk-TS_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.59714331","1.8296","0.14686","-271.444326","-271.478606","-102.9991","235.3795","115.9921740656982","89.5666502543158","0.717642028804681","25b","N/A","N/A","N/A","N/A","N/A","N/A","1.4227524179536648","1.537621236129041","1.5454473099093349","1.5627047980453634","1.5391217688802272","1.4109823326806756","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-o3b-freeze_bmk-TS_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.59847472","1.4988","0.147141","-271.445458","-271.479588","-94.283","239.5376","359.9834150999911","90.96726623586198","0.7501381956254953","o3b","N/A","N/A","N/A","N/A","N/A","N/A","1.4096175872147025","1.5629137691715433","1.5432149793719603","1.5430724524276236","1.5629198212992244","1.4096457757053722","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-3s1-freeze_bmk-TS_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.597150045","1.8307","0.146947","-271.444265","-271.478508","-103.5404","237.1639","63.996422656656776","90.4588970749493","0.7181437080480652","b14","N/A","N/A","N/A","N/A","N/A","N/A","1.4110795212442848","1.5390085265764448","1.5626583725853198","1.5452914713884887","1.5375813839995591","1.4227954330236656","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-e4-freeze_bmk-TS_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.591634656","1.7813","0.146583","-271.438792","-271.474501","-251.7574","48.3587","0.23909345816361482","118.5969664995784","0.5860589370094773","3e","N/A","N/A","N/A","N/A","N/A","N/A","1.4163226983064274","1.546265222389096","1.5375905301783046","1.5376283741375874","1.5459620531982665","1.4160279276723322","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1c4-freeze_bmk-TS_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.591956264","1.61","0.147179","-271.438628","-271.474001","-224.8335","58.8251","155.81090336765664","117.65693347877946","0.565052120590556","5ho","N/A","N/A","N/A","N/A","N/A","N/A","1.4069840322768414","1.5602627306159051","1.5670690598917458","1.562258592939402","1.535724748466339","1.4079113933568403","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-b25-freeze_bmk-TS_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.597142813","1.8297","0.146873","-271.444314","-271.478591","-102.924","235.7617","295.9314303820271","90.4377443477002","0.7176289982947226","b25","N/A","N/A","N/A","N/A","N/A","N/A","1.422751981782489","1.537624820940726","1.545454269240601","1.562701788077943","1.5391303273920631","1.4109787128248958","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-2h1-freeze_bmk-TS_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.591958664","1.6112","0.147172","-271.438642","-271.473977","-226.5898","61.2605","24.68661758264207","62.34270079332795","0.565326365110319","oh1","N/A","N/A","N/A","N/A","N/A","N/A","1.4078786169613486","1.5355347557492796","1.5622406907624702","1.567060132355807","1.5604384630023063","1.4070736164042732","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1s3-freeze_bmk-TS_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.59714986","1.8307","0.146945","-271.444267","-271.47851","-103.5826","237.1411","243.99704080939705","89.54163495834716","0.7181504016595599","14b","N/A","N/A","N/A","N/A","N/A","N/A","1.411079145482634","1.539005772583391","1.56265904883023","1.5452914557953137","1.537582319918189","1.4227927272350671","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
