File Name,Solvent type,Stoichiometry,Charge,Mult,Functional,Basis Set,Energy (A.U.),dipole,ZPE (kcal/mol),H298 (Hartrees),G298 (Hartrees),Freq 1,Freq 2,phi,theta,Q,Pucker,HM1 (deg),HM2 (deg),AC1 (deg),AC2 (deg),Ano1 (deg),Ano2 (deg),R1 (A),R2 (A),R3 (A),R4 (A),R5 (A),R6 (A),O1 (A),O2 (A),O3 (A),O4 (A),O6 (A),Ion1 (A),Ion2 (A),Ion3 (A),Ion4 (A),Ion5 (A),Ion6 (A)
oxane-25b-freeze_dftb-TS_dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67715541,0.9436,0.143767,-15.527501,-15.561696,-63.668,228.4205,180.0022622,90.62858165,0.75501237,bo3,N/A,N/A,N/A,N/A,N/A,N/A,1.452975735,1.525933194,1.514312347,1.514313269,1.525932293,1.452973358,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-1h2-freeze_dftb-TS_dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67095909,0.8511,0.143651,-15.521109,-15.556921,-205.9545,38.3724,219.0060718,120.0518043,0.574713188,1ho,N/A,N/A,N/A,N/A,N/A,N/A,1.452076149,1.508644995,1.523437676,1.528832596,1.528390261,1.447908395,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-1ho-freeze_dftb-TS_dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67095899,0.5603,0.143654,-15.521109,-15.556882,-205.8752,40.0397,219.0114955,120.052162,0.574714274,1ho,N/A,N/A,N/A,N/A,N/A,N/A,1.452075629,1.50864483,1.523436172,1.52883261,1.528391453,1.447907872,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-eo-freeze_dftb-TS_dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67095938,0.4994,0.143649,-15.521109,-15.556939,-205.9872,37.6899,219.0071813,120.051655,0.574714113,1ho,N/A,N/A,N/A,N/A,N/A,N/A,1.452075598,1.508645174,1.523437327,1.528832692,1.52839077,1.44790837,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-14b-freeze_dftb-TS_dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67712685,0.5135,0.143748,-15.527476,-15.561709,-74.0093,218.9123,124.1757001,90.10536369,0.721925088,25b,N/A,N/A,N/A,N/A,N/A,N/A,1.461273252,1.51047823,1.514551202,1.52584355,1.5145666,1.451483612,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-e3-freeze_dftb-TS_dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67096932,0.4366,0.143383,-15.521321,-15.557496,-217.8041,28.6459,161.7827984,60.27313478,0.561150913,2h3,N/A,N/A,N/A,N/A,N/A,N/A,1.455164555,1.508894908,1.509705177,1.509553227,1.52024299,1.456420551,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-b25-freeze_dftb-TS_dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67715507,0.9786,0.143765,-15.527503,-15.561699,-63.9937,228.3041,6.06E-04,89.37191964,0.755014264,o3b,N/A,N/A,N/A,N/A,N/A,N/A,1.452972689,1.525931449,1.514312933,1.514312058,1.525932127,1.45297367,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-oh5-freeze_dftb-TS_dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67095919,0.5667,0.143658,-15.521105,-15.556883,-205.8053,39.7489,320.993768,59.94875731,0.574716505,oh5,N/A,N/A,N/A,N/A,N/A,N/A,1.447908402,1.528390448,1.528832431,1.52343825,1.508645229,1.452075183,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-4h5-freeze_dftb-TS_dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67095909,0.8578,0.143653,-15.521107,-15.55692,-206.1044,38.3052,320.9967562,59.9479708,0.574710589,oh5,N/A,N/A,N/A,N/A,N/A,N/A,1.44790712,1.528390902,1.528832245,1.523438593,1.508645264,1.452074952,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-3h4-freeze_dftb-TS_dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.67096932,0.4793,0.143389,-15.521316,-15.557473,-217.7531,29.1759,18.21391576,119.7268216,0.561153629,3h4,N/A,N/A,N/A,N/A,N/A,N/A,1.456420691,1.520243136,1.509553384,1.509705963,1.508896254,1.455165121,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxane-1s5-freeze_dftb-TS_dftb.log,N/A,C5H10O,0,1,N/A,N/A,-15.6771269,0.7345,0.143737,-15.527485,-15.56172,-74.1807,218.9305,235.8205373,90.10562607,0.72192749,14b,N/A,N/A,N/A,N/A,N/A,N/A,1.45147826,1.514567167,1.525841448,1.514551783,1.510481038,1.46127242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
