"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"oxane-bo3-freeze_m06l-TS_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.733096262","1.4184","0.146174","-271.580988","-271.61521","-106.1838","230.1675","180.00785986516675","89.92144487891841","0.7534244067371698","bo3","N/A","N/A","N/A","N/A","N/A","N/A","1.4189635142370645","1.5426497217528028","1.5243718629346972","1.5243957991761852","1.5428134394997342","1.4188415873796485","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-e5-freeze_m06l-TS_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.726283393","1.5173","0.146303","-271.573792","-271.609381","-229.7996","46.5824","341.6105229389749","61.95338039538356","0.5715634376479509","oh5","N/A","N/A","N/A","N/A","N/A","N/A","1.4157039721446008","1.5375199562165038","1.5473605370003463","1.5443731911510248","1.5173805455626481","1.417660306713142","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-25b-freeze_m06l-TS_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.732259877","1.7599","0.145931","-271.580349","-271.614643","-109.1872","235.661","117.01044117029559","89.82913389533695","0.7163553781620757","25b","N/A","N/A","N/A","N/A","N/A","N/A","1.4316462941585815","1.5171548282479281","1.526478059518053","1.5439959730708497","1.5192674562400132","1.419052414985084","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-o3b-freeze_m06l-TS_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.733096388","1.4184","0.146175","-271.580987","-271.615209","-106.0839","230.2484","0.005526339834534066","90.07821936623665","0.7534276782065491","o3b","N/A","N/A","N/A","N/A","N/A","N/A","1.4189653607378863","1.5426510510108888","1.524374754278619","1.5243950997759734","1.5428126770891533","1.4188385150456695","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-5s1-freeze_m06l-TS_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.732272605","1.76","0.145986","-271.580317","-271.61459","-104.823","239.1044","62.944742786395594","90.18497837751758","0.7161218152375215","b14","N/A","N/A","N/A","N/A","N/A","N/A","1.4190360861570785","1.5192486296946264","1.543998289328068","1.526400022969405","1.5171467676523587","1.4317087089733023","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-e4-freeze_m06l-TS_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.726409171","1.7436","0.145763","-271.574401","-271.609903","-250.2079","59.7759","0.5921160551805541","118.34254983325191","0.580318854908029","3e","N/A","N/A","N/A","N/A","N/A","N/A","1.4235389277856085","1.5258481778486352","1.5192880868311316","1.5193410509260257","1.5250789862098946","1.4233972004503872","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-5e-freeze_m06l-TS_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.726283625","1.5172","0.146305","-271.57379","-271.609383","-229.6468","46.3753","161.66341452688556","118.04388034023307","0.5715471279159996","5ho","N/A","N/A","N/A","N/A","N/A","N/A","1.4157060985056185","1.537494993263393","1.5473613911872688","1.5443788274322463","1.5174093931741033","1.4176519303139963","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-b25-freeze_m06l-TS_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.732261772","1.7601","0.14594","-271.580342","-271.614635","-109.0945","235.637","296.98151112169245","90.17568615244686","0.7162773447506208","b25","N/A","N/A","N/A","N/A","N/A","N/A","1.431650358472347","1.5171589528925438","1.526477534586736","1.5439794757680558","1.5192566243097314","1.4190565095245502","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-e1-freeze_m06l-TS_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.726287986","1.5171","0.14633","-271.573777","-271.60932","-228.2388","48.7181","18.81604545218628","61.93132360503467","0.5718065162200398","oh1","N/A","N/A","N/A","N/A","N/A","N/A","1.4177081668449965","1.5171288958084612","1.5443776894105274","1.5475068752651797","1.5377390662036912","1.4155856881026314","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1s5-freeze_m06l-TS_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.732272695","1.7601","0.145994","-271.580311","-271.61458","-104.8203","239.2415","242.9502927873578","89.81310798585382","0.7160790016332573","14b","N/A","N/A","N/A","N/A","N/A","N/A","1.419038028723332","1.5192521021739613","1.5439930658150638","1.5263997721340896","1.5171437842637066","1.431704791758762","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1e-freeze_m06l-TS_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.726287986","1.5171","0.14633","-271.573777","-271.60932","-228.2388","48.7177","198.81586853299754","118.06875484464541","0.571806727477848","1ho","N/A","N/A","N/A","N/A","N/A","N/A","1.4177081668449962","1.5171287106649853","1.5443786885132804","1.5475062205868513","1.5377389911857602","1.4155865591835068","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-4e-freeze_m06l-TS_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.726409171","1.7436","0.145763","-271.574401","-271.609903","-250.2079","59.7759","180.59211675834615","61.65746047061023","0.5803181406004088","e3","N/A","N/A","N/A","N/A","N/A","N/A","1.4235389277856085","1.5258481778486352","1.5192876858824336","1.5193406329016546","1.5250789862098946","1.4233972004503872","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
