"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"beta-glucose251-TS_am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.470412034672","1.257","0.200152","-0.257703","-0.308349","-46.4605","34.1438","306.29628331508763","61.85328640533772","0.5518422402045361","e5","176.840034999838","-58.07363921857917","N/A","N/A","156.2107579210805","-111.73515573574379","1.4175014636062988","1.5448262093115843","1.5417269166405576","1.5368552172765007","1.5329943089274665","1.4239443278590636","1.4034778031304949","1.4223239502381309","1.4217076853309192","1.4189501635103325","1.412380068730085","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose228-TS_am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.474035500748","1.3529","0.199958","-0.261444","-0.312308","-43.2028","25.9985","299.10040508966745","59.45572172874078","0.5493165402656174","e5","-72.16940363052272","169.72185439316874","N/A","N/A","153.20448292077523","-112.20407475622513","1.4178990942200365","1.5460949067573437","1.5381537775024319","1.5369361671751365","1.5290243614298629","1.42486684284006","1.4033241406107855","1.4234149274898729","1.4217767474716274","1.414497017780172","1.4094567501367326","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose222-TS_am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.469299862765","4.1163","0.199933","-0.256751","-0.307393","-48.16","29.8155","303.6223464421611","49.7574252024058","0.5130464016869478","e5","162.23286786334992","79.71019353904303","N/A","N/A","161.26503795800045","-123.87027243258369","1.4206580483719509","1.5455300383159818","1.5381780687537447","1.5390973165765054","1.5300372649007605","1.42313287741869","1.4022979675079759","1.4172261893212388","1.4209481554405847","1.4182925062838767","1.4188872561884542","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose198-TS_am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.474151245824","3.982","0.200763","-0.26118","-0.31056","-87.1388","33.1572","334.57382542631126","111.84021277024473","0.5004878828274593","3h2","-59.78626651625647","-68.13271292891686","N/A","N/A","122.38424717055797","-80.48170705502633","1.4101160126092425","1.535214231591481","1.5338342036934778","1.5327721110135706","1.536457757760358","1.4263826567064684","1.4131958496691102","1.4165927773266354","1.4089569423161925","1.4150474138664073","1.4121071378794174","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose206-TS_am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.473296484851","1.8953","0.199973","-0.260783","-0.311155","-96.3404","37.4183","180.33897056523335","47.219666815810655","0.5196309350955527","e3","160.8533469044006","-32.88623670751573","N/A","N/A","126.10716532976838","-150.31615891713986","1.411177320272332","1.5364166292051125","1.5291364836485326","1.5322859610405621","1.5327122765731342","1.422782454944536","1.411326581558642","1.4173920926275125","1.41675804759846","1.4208792901612015","1.409878826550353","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose255-TS_am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.470058917763","1.6709","0.1994","-0.257747","-0.308961","-46.894","37.7002","280.29542448199356","56.72348991821744","0.5689319945409362","4h5","-157.79613119494465","83.49427289767186","N/A","N/A","-143.25004187459655","111.29099121261322","1.4194711936231745","1.548397730907663","1.5377948523587273","1.5353605155343808","1.5300200605302536","1.4228468332332895","1.4052054874650894","1.4224828755246932","1.4204789455722324","1.4130572664478251","1.4207136725441898","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose210-TS_am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.474506665641","2.2821","0.199802","-0.262009","-0.313426","-52.7387","19.7782","263.6016834937293","58.790322448489746","0.5528797106707012","4h5","-73.56038495725575","166.31537465782043","N/A","N/A","-129.65195258834493","108.28947672288841","1.415808033805077","1.5445024652505417","1.5364334079653434","1.5327659156025752","1.5286734660381203","1.4221952789212875","1.40652531668719","1.4207283879619639","1.4187180440231948","1.4138623735038707","1.409138712516621","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose157-TS_am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.473147591643","0.6515","0.199936","-0.260612","-0.311144","-48.1796","39.3807","279.0576366601138","56.25229166476269","0.5730422742296853","4h5","-78.45686094704212","39.57193587744957","N/A","N/A","-143.0921421242568","111.74435620349536","1.4182507890020744","1.5485913638791222","1.5382791825640747","1.5331467994787715","1.5320652379494162","1.425726640664682","1.4055753009188072","1.4222842950662142","1.4198934387748954","1.4156455956753446","1.412430827906981","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose137-TS_am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.470712534502","1.1977","0.199369","-0.258503","-0.309521","-100.6708","28.4722","176.87886589944085","43.526682025015255","0.5180550428683405","e3","-67.03812368091161","61.190281103592014","N/A","N/A","-134.77103237148464","155.8497916358754","1.4098280733018476","1.537713044585693","1.528197448070111","1.5329214842975487","1.533079785812206","1.4224645060731742","1.4081363377436145","1.4180505523548868","1.4169751209569632","1.4196275840110324","1.4187144067700868","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose233-TS_am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.47332292662","2.8378","0.199854","-0.260765","-0.311686","-58.483","30.7598","266.1242866893187","52.648243204144535","0.5385576067662571","4h5","67.79900408900342","-173.10837688527695","N/A","N/A","133.29853563178224","-113.84367307371181","1.4140452426404186","1.546383042104704","1.5350705099567903","1.5341425515554288","1.529451050965999","1.425942941361259","1.4126624913786021","1.4203805809683547","1.4150797803367836","1.416656222165773","1.4099574772616374","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose211-TS_am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.470915073789","4.0406","0.19935","-0.25867","-0.310152","-48.7039","25.8411","269.85524600229064","58.61842619801359","0.5690189489779336","4h5","-67.24884046088276","174.11551883749837","N/A","N/A","133.599253305197","-107.76815202656614","1.413971230925863","1.5470449590884552","1.5370669647484456","1.5349803617981563","1.5311887536486153","1.4252191046032185","1.406867932434669","1.42243737084098","1.4209814901869764","1.4149977251564754","1.4094223623445883","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose145-TS_am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.474794579047","1.4818","0.200659","-0.261878","-0.311906","-84.2044","19.4605","319.24470720348205","117.07181170038176","0.468343925125272","3h2","-62.28591079991272","-167.97344236425823","N/A","N/A","108.85085003458626","-72.4019426619879","1.4107197494286396","1.5350127896405292","1.528972192678795","1.5388945021391163","1.5351781437064562","1.4232461420242808","1.4117696919806009","1.4093565687082172","1.4083019583182435","1.4249814403724699","1.4097222645262435","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose244-TS_am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.469182107544","1.601","0.199774","-0.256622","-0.307575","-41.1123","31.8827","48.75114213099087","64.13425710315673","0.5678971649126054","e1","-64.56903993069747","-170.23940572795212","N/A","N/A","-170.06304935974472","-171.2384381532976","1.419050524439845","1.5380593025985698","1.5340600280070533","1.545799252635995","1.5383042913175533","1.4253068702760125","1.4007963345943635","1.4183613308272331","1.421409249949148","1.4245077493404519","1.4100470417507356","N/A","N/A","N/A","N/A","N/A","N/A"
