"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"beta-glucose161-TS_am1-ircr-am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.480894260035","1.6164","0.200797","-0.267102","-0.317935","37.336","84.4369","159.2187462579193","85.24384892269273","0.6825133301726306","2so","-54.094523054775586","179.46268378466743","N/A","N/A","82.01545800618419","-138.52525088309994","1.4153610688513372","1.5396991418751262","1.5348720045046103","1.536083962456805","1.535390878188678","1.4248865470517291","1.4083677179110576","1.4162860836578888","1.4183751775295563","1.4159699204566458","1.4097285451075325","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose171-TS_am1-ircf-am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.479313218017","1.3669","0.200586","-0.26564","-0.316838","39.1414","77.9543","151.1856740550703","80.10967784074124","0.6657366647653151","2so","-27.93299154791196","156.97871814756422","N/A","N/A","103.13770050422943","156.5580254989942","1.4133022170654088","1.5389894551770003","1.5318517464718968","1.5368857331903372","1.5360610185591586","1.4214137960995032","1.4008689350663752","1.4167971147754361","1.4164673514532555","1.4188405209102959","1.413223425276414","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose150-TS_am1-ircr-am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.478313538895","3.3435","0.200793","-0.264488","-0.315877","25.4807","76.5892","13.923049416425986","87.377680269944","0.6831616281518889","o3b","49.024272011134215","-73.44983054520397","N/A","N/A","-178.4627754742663","-131.47977291915097","1.4212104764421771","1.5432163876365492","1.5410593776652475","1.5363991057778574","1.5415785163568543","1.4305509214386603","1.404185554854486","1.4183340221418226","1.4089021964824244","1.4137914453203484","1.4111534315626348","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose143-TS_am1-ircf-am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.479561744153","1.2752","0.201111","-0.265541","-0.317046","19.3195","68.1216","354.0823724742577","89.94715737469846","0.7097728860282779","o3b","53.87782639891876","-66.99337184745046","N/A","N/A","-174.61131921253684","-109.9803664391943","1.4247994228230862","1.5456196886808864","1.5390649192279058","1.5376977974781003","1.542285498210367","1.4284496669557523","1.3985787178171274","1.419618546365889","1.4128318242232512","1.411350013763064","1.4116172366314461","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose227-TS_am1-ircr-am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.479836059427","2.0072","0.20082","-0.265987","-0.317679","18.6627","78.0179","351.19416509545687","87.90044091195703","0.7103116731257937","o3b","-65.22573678564711","174.14064170929146","N/A","N/A","-175.75038306606376","-110.6852823105111","1.4234405338042753","1.5468967574149868","1.5401254851378183","1.5387070857294445","1.5398730679146901","1.431549812707892","1.3995622996655057","1.4172726615217695","1.4126345705698269","1.411175577972493","1.4095194310239214","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose142-TS_am1-ircf-am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.479560789594","2.1138","0.20102","-0.265631","-0.316856","22.014","72.3692","8.33426750172346","87.48184326331483","0.6947865066100622","o3b","49.5630998874786","-72.16163071676534","N/A","N/A","-175.27449875846943","-127.6775794916663","1.421832274201145","1.5456179064079842","1.5411741859364891","1.536200103388227","1.5424754839973958","1.4303162825602593","1.3995759406927515","1.4183949544273626","1.4109429501485877","1.4123191296208515","1.4118175863931572","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose140-TS_am1-ircr-am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.476673406256","1.389","0.201026","-0.262638","-0.313703","42.6179","102.5191","12.93452287039516","90.65459768961779","0.7036018206438579","o3b","62.23523591671807","-60.19830795539863","N/A","N/A","-178.624273523136","-126.22621936673336","1.4210186185866813","1.5453891739846635","1.5392233461073803","1.5386902701882534","1.5403420167186896","1.428349318031832","1.4052700514007974","1.4194074882830512","1.4111319057710374","1.4120628746709545","1.4095619738266212","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose242-TS_am1-ircr-am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.47410342809","2.6583","0.200633","-0.260355","-0.311774","33.9544","73.3398","14.14523210709","86.57454272440978","0.6712667695161555","o3b","82.45174681964028","40.32039826256829","N/A","N/A","-174.79466080743447","-134.22089305249634","1.4159220876637246","1.5462053304949508","1.5398078170554272","1.5381791147047863","1.5390003386773505","1.4300059696277496","1.401492200024317","1.419452503060951","1.4170102137052505","1.4139697492870915","1.4097903589803698","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose149-TS_am1-ircf-am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.477842977044","2.806","0.200583","-0.264056","-0.316597","13.6439","60.7034","352.2093892829886","89.2007277412794","0.6975488174133889","o3b","61.63939787105313","-59.616529702151915","N/A","N/A","-168.79761026314196","-107.48705161904513","1.4246359795098535","1.5427195577116406","1.5382077320082614","1.5387018839534836","1.540714083992549","1.4289579833434571","1.405195555445576","1.420618353310276","1.4103155249982182","1.4128112691201895","1.4105893874139985","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose147-TS_am1-ircf-am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.478683317916","1.966","0.200599","-0.264905","-0.316994","19.2738","75.6853","345.0997778502578","89.74400324961489","0.7072224760336674","o3b","-65.14328229015818","173.84077794629133","N/A","N/A","-163.0377539981711","-99.76037765034987","1.4243461478169552","1.543537191989231","1.5375306122666306","1.5402879531321407","1.538669588041565","1.4294370732781487","1.4063634510499057","1.4198773726611045","1.4104370300063027","1.4135144020058659","1.4101754945615812","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose252-TS_am1-ircr-am1.log","N/A","C6H12O6","0","1","N/A","N/A","-0.478715030079","1.8768","0.200721","-0.264937","-0.316327","31.6398","71.4611","336.5515601640154","89.72415359028841","0.7017140831038071","os2","63.195973469948036","-57.546364731975636","N/A","N/A","-156.13113565173774","-91.93487122207453","1.4276762075533793","1.5439080370064144","1.5348368366435567","1.5420585130626527","1.539339270048679","1.4245593505972294","1.4057824532074659","1.409457842268083","1.4103541813930998","1.422184450034875","1.4101711907775596","N/A","N/A","N/A","N/A","N/A","N/A"
