"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"oxane-1c4-freeze_bmk-TS_bmk-ircf_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.599608933","1.6116","0.147143","-271.445831","-271.481566","112.8171","246.7991","153.82558923474917","89.21583022921368","0.7702537742086142","2so","N/A","N/A","N/A","N/A","N/A","N/A","1.4152851199122387","1.553288150695485","1.5415151237957416","1.551144496934441","1.553010600352747","1.409728513174434","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1c4-freeze_bmk-TS_bmk-ircr_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.599608984","1.6116","0.147143","-271.445831","-271.481566","112.8284","246.8069","153.82900812925226","89.2161363685019","0.7702568030477035","2so","N/A","N/A","N/A","N/A","N/A","N/A","1.4152849769615305","1.553291054701597","1.5415127871847187","1.5511424157284848","1.5530121245750144","1.409730788950855","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1h2-freeze_bmk-TS_bmk-ircf_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.608923892","1.6181","0.147285","-271.455281","-271.490202","243.3915","253.0701","180.039482560472","178.9286456475521","0.5634071273675174","1c4","N/A","N/A","N/A","N/A","N/A","N/A","1.410689792076557","1.539049907247","1.5436217884773462","1.5436723475485332","1.5391177502878068","1.4108015311775786","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1h2-freeze_bmk-TS_bmk-ircr_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.599595589","1.6129","0.147186","-271.445785","-271.481485","116.4679","245.2431","206.32024542593666","89.21176951963517","0.7698246229626707","1s3","N/A","N/A","N/A","N/A","N/A","N/A","1.4097324749455125","1.5529002018281792","1.5513730377871726","1.5414286801500092","1.5531585825140328","1.4154476083546859","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1s3-freeze_bmk-TS_bmk-ircf_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.59808819","1.8462","0.146975","-271.444422","-271.480272","109.4574","259.711","269.9397322380241","90.04175421180842","0.7451624266359134","1s5","N/A","N/A","N/A","N/A","N/A","N/A","1.4177565074613483","1.5362760437554834","1.5542820096539753","1.5543779302605272","1.5361987499243057","1.417710146544067","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1s3-freeze_bmk-TS_bmk-ircr_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.599606816","1.6116","0.147218","-271.44578","-271.481438","118.9087","248.7583","206.17127628366467","89.17828250406907","0.7703965768187179","1s3","N/A","N/A","N/A","N/A","N/A","N/A","1.4097828640765924","1.5529684022233032","1.5512897193409747","1.5413349024773948","1.5532649859373642","1.415481616050523","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-25b-freeze_bmk-TS_bmk-ircf_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.598081375","1.8462","0.147029","-271.444377","-271.480181","112.6954","262.0598","89.85871772950726","89.99602657143167","0.7447870662211148","5s1","N/A","N/A","N/A","N/A","N/A","N/A","1.4177839977306135","1.536241631698933","1.5544364640370478","1.5542891591959327","1.5361931183461277","1.4178470453493917","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-25b-freeze_bmk-TS_bmk-ircr_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.599599273","1.6104","0.147206","-271.445771","-271.481474","114.8298","246.7012","154.00609192087035","89.18499544130292","0.770174524261868","2so","N/A","N/A","N/A","N/A","N/A","N/A","1.4152860687115518","1.5532550460233503","1.5413712587423576","1.5510919804766574","1.5531426431274753","1.409836632497184","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-2h1-freeze_bmk-TS_bmk-ircf_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.599597269","1.6126","0.147186","-271.445786","-271.48149","116.0668","245.1409","26.27829149313724","90.80612541912348","0.7697466056983228","3s1","N/A","N/A","N/A","N/A","N/A","N/A","1.409702574339708","1.552967634363962","1.5513366630415848","1.541402222550623","1.5531253617419296","1.4153960014501243","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-2h1-freeze_bmk-TS_bmk-ircr_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.608922915","1.6178","0.147282","-271.455283","-271.490204","243.4254","253.0282","359.8582524059548","1.0860647687480383","0.5634411136066275","4c1","N/A","N/A","N/A","N/A","N/A","N/A","1.4107064148397426","1.5390340261076103","1.543627233925989","1.5437039232747969","1.5391445050166666","1.4107678858692525","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-3s1-freeze_bmk-TS_bmk-ircf_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.599606716","1.6108","0.147197","-271.445796","-271.481464","118.6935","247.6308","26.12618961777832","90.8316451818997","0.7702954652318381","3s1","N/A","N/A","N/A","N/A","N/A","N/A","1.409688611774955","1.5530887169955874","1.5512393118410193","1.541338916727272","1.5533182187037529","1.4153239431059592","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-3s1-freeze_bmk-TS_bmk-ircr_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.5980886","1.8462","0.146976","-271.444421","-271.480271","109.3979","259.7774","89.95501790239173","89.95767109514182","0.7451705779692962","5s1","N/A","N/A","N/A","N/A","N/A","N/A","1.4177615631924856","1.536275175472806","1.5542770547321993","1.5543855995981177","1.5362022739932395","1.417694637349313","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-4e-freeze_bmk-TS_bmk-ircf_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.599609525","1.6129","0.147179","-271.4458","-271.48152","114.1891","246.6653","206.27376519182616","89.19136256936743","0.7699166619959618","1s3","N/A","N/A","N/A","N/A","N/A","N/A","1.4097670673572282","1.5531226903216628","1.5514353455677745","1.5412919630702677","1.5531380258035667","1.4154128444542249","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-4e-freeze_bmk-TS_bmk-ircr_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.599610838","1.6127","0.147195","-271.4458","-271.481479","117.2021","248.2978","206.33305034583975","89.20679159895336","0.7704435953577669","1s3","N/A","N/A","N/A","N/A","N/A","N/A","1.4096680666288075","1.5530414101504182","1.5514647350072124","1.5413072347546415","1.5532064280941538","1.4153428676310205","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-b25-freeze_bmk-TS_bmk-ircf_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.599599347","1.6106","0.147214","-271.445766","-271.481462","115.4404","246.9032","333.946715070176","90.80835065570561","0.7701140119084304","os2","N/A","N/A","N/A","N/A","N/A","N/A","1.4152580145422247","1.5531948064769596","1.5414124762859551","1.551157449433809","1.5531729328384527","1.4097833078317392","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-b25-freeze_bmk-TS_bmk-ircr_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.598080286","1.8462","0.147028","-271.444376","-271.48018","112.6837","261.8445","269.8763017305057","90.01676636363632","0.7447684163790274","1s5","N/A","N/A","N/A","N/A","N/A","N/A","1.4178039640588538","1.536195812840928","1.554427487256321","1.5543266399132454","1.5361905331758166","1.4178633744024844","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-bo3-freeze_bmk-TS_bmk-ircf_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.599602391","1.6145","0.147224","-271.445766","-271.481429","119.6538","247.0912","153.53082813493643","89.22400845920355","0.76969796853047","2so","N/A","N/A","N/A","N/A","N/A","N/A","1.415573101878529","1.5532286672341584","1.541417538876472","1.5514179834119497","1.5526666712404822","1.4097092822284316","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-bo3-freeze_bmk-TS_bmk-ircr_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.599615183","1.6121","0.147205","-271.445793","-271.481473","117.5673","247.4555","206.201835422296","89.21731996810666","0.7701827942435189","1s3","N/A","N/A","N/A","N/A","N/A","N/A","1.4098643832862081","1.552888308878008","1.5513317382352492","1.5413040555714501","1.5532290603426784","1.415492561619806","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-e1-freeze_bmk-TS_bmk-ircf_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.599612589","1.6124","0.147194","-271.445794","-271.481501","114.6926","247.0689","333.7178517456516","90.7804304303178","0.7703548051527053","os2","N/A","N/A","N/A","N/A","N/A","N/A","1.4153293330861196","1.5532198680833953","1.5414807380194537","1.5512485960122575","1.5529477136780876","1.4097132611825711","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-e1-freeze_bmk-TS_bmk-ircr_bmk-minIRC_bmk.log","N/A","C5H10O","0","1","BMK","6-31+G(d,p)","-271.608924574","1.6174","0.147297","-271.455268","-271.490192","242.0991","253.5646","0.7800605486559846","1.1091314360441404","0.5633198083772261","4c1","N/A","N/A","N/A","N/A","N/A","N/A","1.4105732192966802","1.539139912969578","1.5437236576194588","1.543526636422903","1.5391403296467154","1.4107287826520731","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
