"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"oxane-e3-freeze_pm6-TS_pm6.log","N/A","C5H10O","0","1","N/A","N/A","-0.0841084069155","2.1434","0.133574","0.055939","0.019217","-207.2594","22.1666","180.00000624235946","58.47222489841262","0.5373782997807472","e3","N/A","N/A","N/A","N/A","N/A","N/A","1.4384190231472884","1.527910806009631","1.5293022568589898","1.5293022749741139","1.527911806301005","1.4384189595003258","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-5s1-freeze_pm6-TS_pm6.log","N/A","C5H10O","0","1","N/A","N/A","-0.0876171524741","2.1081","0.133887","0.052439","0.0177","-64.16","185.9844","127.523421090934","90.12836511505499","0.6893406016011115","25b","N/A","N/A","N/A","N/A","N/A","N/A","1.4474195157303222","1.5284459672706785","1.5334314695753442","1.5382075705784966","1.5319919406749503","1.4370017164029414","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-14b-freeze_pm6-TS_pm6.log","N/A","C5H10O","0","1","N/A","N/A","-0.0881392749035","1.882","0.133976","0.05196","0.017354","-14.451","215.9075","179.99925091415363","87.37353019807232","0.7087050898158924","bo3","N/A","N/A","N/A","N/A","N/A","N/A","1.440846223399985","1.535998577477857","1.533493011804749","1.533493828280049","1.5359981440828634","1.4408464834037664","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-4c1-freeze_pm6-TS_pm6.log","N/A","C5H10O","0","1","N/A","N/A","-0.0847220185322","2.1151","0.133703","0.05535","0.019698","-165.9634","67.3303","279.4000785421664","59.682423036559356","0.5530727180619346","4h5","N/A","N/A","N/A","N/A","N/A","N/A","1.4419711142869678","1.534749764327071","1.5377528360214459","1.530140359120692","1.5263473855073098","1.4355227839818494","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-bo3-freeze_pm6-TS_pm6.log","N/A","C5H10O","0","1","N/A","N/A","-0.0876171524733","2.1081","0.133887","0.052439","0.0177","-64.154","185.9845","232.47724907397435","90.1282447764154","0.6893390773719855","14b","N/A","N/A","N/A","N/A","N/A","N/A","1.4370014494084549","1.531992547813794","1.5382068401902262","1.5334317825332173","1.5284460009189071","1.4474194845292778","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-3s1-freeze_pm6-TS_pm6.log","N/A","C5H10O","0","1","N/A","N/A","-0.0876171524736","2.1081","0.133887","0.052439","0.0177","-64.1545","185.985","52.47795886406232","89.87169586081438","0.6893389305949559","b14","N/A","N/A","N/A","N/A","N/A","N/A","1.4370012263536867","1.5319933838571238","1.5382072464687588","1.5334314269487241","1.5284457265114126","1.4474208689306645","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-oh1-freeze_pm6-TS_pm6.log","N/A","C5H10O","0","1","N/A","N/A","-0.0847220185309","2.1151","0.133703","0.05535","0.019698","-165.9635","67.3294","80.60013918405429","59.68247736475889","0.5530721432129923","2h1","N/A","N/A","N/A","N/A","N/A","N/A","1.4355220356393001","1.5263465031053731","1.5301413980024854","1.5377527676453715","1.5347492802780525","1.4419712300174368","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-os2-freeze_pm6-TS_pm6.log","N/A","C5H10O","0","1","N/A","N/A","-0.0876171524571","2.1081","0.133887","0.052439","0.0177","-64.1581","185.9853","307.523728864175","89.87164750781628","0.6893446820915258","b25","N/A","N/A","N/A","N/A","N/A","N/A","1.4474176105233072","1.5284451896734799","1.533432855357221","1.5382072805863973","1.5319920598305985","1.4370004793781384","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-e2-freeze_pm6-TS_pm6.log","N/A","C5H10O","0","1","N/A","N/A","-0.0847220185317","2.1151","0.133703","0.05535","0.019698","-165.9651","67.3277","260.6005949745112","120.3170114295948","0.5530775614172045","1h2","N/A","N/A","N/A","N/A","N/A","N/A","1.4355223812285198","1.5263472931000992","1.5301415219985375","1.5377528250060215","1.5347498474256316","1.4419713386433866","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-b14-freeze_pm6-TS_pm6.log","N/A","C5H10O","0","1","N/A","N/A","-0.0881392749026","1.882","0.133976","0.05196","0.017354","-14.4509","215.9075","359.9996664871905","92.62645845169021","0.7087045226172204","o3b","N/A","N/A","N/A","N/A","N/A","N/A","1.4408453684788662","1.5359991973012221","1.5334935315575997","1.533493509624022","1.5359992537465634","1.4408461015004344","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
