"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"oxane-1e-freeze_m06l-TS_m06l-ircf_m06l-minIRC_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.743353227","1.5364","0.146371","-271.590589","-271.625544","246.7065","249.9937","179.49073037627596","178.05359879851014","0.5639070926929204","1c4","N/A","N/A","N/A","N/A","N/A","N/A","1.4201997833998568","1.5193233988595054","1.525214942776591","1.5250522057978868","1.5191491483675985","1.4202396609041026","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1e-freeze_m06l-TS_m06l-ircr_m06l-minIRC_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.734509926","1.5511","0.146315","-271.581547","-271.617255","118.1347","249.5365","207.50451163727158","89.7010422870556","0.7729195738603083","1s3","N/A","N/A","N/A","N/A","N/A","N/A","1.4192952038173736","1.5320749642941758","1.5328996613366446","1.5229460601620137","1.5317043911244754","1.4250994193251922","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1s5-freeze_m06l-TS_m06l-ircf_m06l-minIRC_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.733330796","1.7699","0.146082","-271.580537","-271.616393","109.8619","265.5417","269.904394987267","90.01469202325032","0.7443644564808897","1s5","N/A","N/A","N/A","N/A","N/A","N/A","1.4261832872881381","1.5164365300944844","1.535498299727486","1.5353690764718428","1.5164382941844352","1.426339779162034","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1s5-freeze_m06l-TS_m06l-ircr_m06l-minIRC_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.734508587","1.5508","0.146319","-271.581545","-271.617242","119.2824","248.4361","207.48088164922538","89.74320849621463","0.7729361694811521","1s3","N/A","N/A","N/A","N/A","N/A","N/A","1.4193247810628125","1.5318905598132657","1.5329769838761442","1.522986963595224","1.5317541046225402","1.425137293884698","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-25b-freeze_m06l-TS_m06l-ircf_m06l-minIRC_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.73451709","1.5495","0.146297","-271.58157","-271.617286","117.4361","248.0005","152.6680058353741","89.72308894400051","0.7729353353713866","2so","N/A","N/A","N/A","N/A","N/A","N/A","1.425138415921064","1.532068831036648","1.522979659453796","1.532843134446901","1.5321341767185404","1.4192659749046337","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-25b-freeze_m06l-TS_m06l-ircr_m06l-minIRC_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.734518497","1.5493","0.146312","-271.58156","-271.617266","118.0711","248.434","152.64025047573895","89.72308868683483","0.7731077411301236","2so","N/A","N/A","N/A","N/A","N/A","N/A","1.4251403115262018","1.5319864291778178","1.5229818090738971","1.5328424294838658","1.5320379580734937","1.4191984055480054","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-4e-freeze_m06l-TS_m06l-ircf_m06l-minIRC_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.743353468","1.5359","0.146383","-271.590579","-271.62553","246.593","250.5768","359.7120934130273","1.9252974947281258","0.5638211886665","4c1","N/A","N/A","N/A","N/A","N/A","N/A","1.4200098398525272","1.5193692619373345","1.5250481671012888","1.5250195935951119","1.519232554016007","1.420061222841466","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-4e-freeze_m06l-TS_m06l-ircr_m06l-minIRC_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.734510063","1.5508","0.146287","-271.581567","-271.617299","116.2484","246.7063","207.50997964759142","89.74677879970466","0.772890894521769","1s3","N/A","N/A","N/A","N/A","N/A","N/A","1.419291462634085","1.5319586299561094","1.5330000585838213","1.5229576731777545","1.531867775180678","1.4251667407671988","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-5e-freeze_m06l-TS_m06l-ircf_m06l-minIRC_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.743350856","1.5345","0.146361","-271.590596","-271.625551","246.0067","250.6204","179.5572592607735","177.99383507849868","0.5640707712144077","1c4","N/A","N/A","N/A","N/A","N/A","N/A","1.4198927782804587","1.519494794107897","1.5250591770737947","1.5250814869747125","1.5195004188002055","1.4198639386089078","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-5e-freeze_m06l-TS_m06l-ircr_m06l-minIRC_m06l.log","N/A","C5H10O","0","1","M06L","6-31+G(d,p)","-271.734522518","1.5494","0.146334","-271.581548","-271.617236","119.6079","249.2226","152.62909642188583","89.70242504416305","0.7730220688674455","2so","N/A","N/A","N/A","N/A","N/A","N/A","1.4251483826388043","1.5319369279944264","1.5229322367699096","1.5328498414084792","1.5320716902511449","1.4191297061660715","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
