"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"oxane-e4-freeze_pbe-TS_pbe-ircf-pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.424157633","1.5689","0.142103","-271.275227","-271.31131","104.9055","238.3446","26.16437810761374","90.02556787993036","0.7709994785500645","3s1","N/A","N/A","N/A","N/A","N/A","N/A","1.4317514592477285","1.547141428611489","1.5467664821833966","1.5362846059727997","1.5473768308973739","1.4381390416274082","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-e4-freeze_pbe-TS_pbe-ircr-pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.424157874","1.5689","0.142106","-271.275226","-271.311306","105.1491","238.3929","26.161828608564523","90.02584279830829","0.7709583179929942","3s1","N/A","N/A","N/A","N/A","N/A","N/A","1.4317510261833237","1.5471443405946326","1.5467631721908819","1.536286106162846","1.5473769001368092","1.4381382710243826","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-oh1-freeze_pbe-TS_pbe-ircf-pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.424158523","1.5688","0.142103","-271.275231","-271.311306","105.6775","238.6399","26.163976295670537","90.02562223409478","0.7710333238922242","3s1","N/A","N/A","N/A","N/A","N/A","N/A","1.4317414585832178","1.5471179755855726","1.5468110330395888","1.536302509956291","1.5473874049148133","1.4381222628504158","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-oh1-freeze_pbe-TS_pbe-ircr-pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.433532524","1.5653","0.142233","-271.284757","-271.31997","237.4372","243.106","359.9516329492209","2.087668765028222","0.5624803123653144","4c1","N/A","N/A","N/A","N/A","N/A","N/A","1.4331524786239598","1.5330213208582588","1.5386363176712685","1.538643027467385","1.532990371443017","1.4331420831794732","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-e5-freeze_pbe-TS_pbe-ircf-pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.424164353","1.5682","0.142116","-271.275226","-271.311293","106.4404","238.3838","333.9161218643354","90.02443157863893","0.7709654428753034","os2","N/A","N/A","N/A","N/A","N/A","N/A","1.438159146990346","1.547501032303048","1.5363031868055863","1.5467241139059027","1.5471279799505921","1.431685136484276","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-e5-freeze_pbe-TS_pbe-ircr-pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.433531863","1.5652","0.142228","-271.28476","-271.319975","236.8812","243.1728","0.008729001311001067","2.0977745179011476","0.5624395121459559","4c1","N/A","N/A","N/A","N/A","N/A","N/A","1.4331458320342","1.5330230336876873","1.538615835869695","1.5386826901798176","1.5330031271230338","1.4331192067755563","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1ho-freeze_pbe-TS_pbe-ircr-pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.424158497","1.5688","0.142103","-271.275231","-271.311306","105.6318","238.634","206.16505449978143","89.9745708913713","0.7710313121009061","1s3","N/A","N/A","N/A","N/A","N/A","N/A","1.4317398105469443","1.547117394915137","1.5468112276609578","1.5363025083417001","1.54738663881591","1.4381230748628573","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1ho-freeze_pbe-TS_pbe-ircf-pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.43353255","1.5653","0.142233","-271.284757","-271.31997","237.4646","243.0973","179.95138309809306","177.91204144121","0.5624809407079783","1c4","N/A","N/A","N/A","N/A","N/A","N/A","1.4331509825346387","1.533021394508896","1.5386356355749078","1.5386430498062247","1.5329890163057267","1.4331424388964273","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-bo3-freeze_pbe-TS_pbe-ircf-pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.424158502","1.5684","0.142111","-271.275225","-271.31129","106.4042","238.9316","206.12390951835818","89.9833983611025","0.7709455145734925","1s3","N/A","N/A","N/A","N/A","N/A","N/A","1.4317353181133026","1.547108958676796","1.5468093015119866","1.5363143119879477","1.5474174782323613","1.438081207875619","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-bo3-freeze_pbe-TS_pbe-ircr-pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.424162315","1.5691","0.142108","-271.27523","-271.311303","105.8462","238.5839","153.80291980141126","89.9709262166139","0.7710069473479766","2so","N/A","N/A","N/A","N/A","N/A","N/A","1.438102107503497","1.547272695772468","1.5362714252283025","1.5468799606695405","1.5471249536621146","1.4317887236582778","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
